timeline,Oriental Land
28 Feb 2013,$10.62B
29 Mar 2013,$11.96B
30 Apr 2013,$11.59B
31 May 2013,$9.85B
28 Jun 2013,$11.26B
31 Jul 2013,$11.56B
30 Aug 2013,$11.48B
30 Sep 2013,$11.58B
31 Oct 2013,$10.96B
29 Nov 2013,$10.22B
31 Dec 2013,$9.87B
31 Jan 2014,$10.55B
28 Feb 2014,$10.28B
31 Mar 2014,$10.46B
30 Apr 2014,$10.18B
30 May 2014,$11.55B
30 Jun 2014,$11.83B
31 Jul 2014,$13.27B
29 Aug 2014,$13.96B
30 Sep 2014,$14.08B
31 Oct 2014,$16.25B
28 Nov 2014,$16.59B
31 Dec 2014,$18.01B
30 Jan 2015,$20.06B
27 Feb 2015,$22.72B
31 Mar 2015,$26.4B
30 Apr 2015,$23.13B
29 May 2015,$22.26B
30 Jun 2015,$21.42B
31 Jul 2015,$21.87B
31 Aug 2015,$18.57B
30 Sep 2015,$18.65B
30 Oct 2015,$20.94B
30 Nov 2015,$20.31B
31 Dec 2015,$21.01B
29 Jan 2016,$22.12B
29 Feb 2016,$23.47B
31 Mar 2016,$23.61B
29 Apr 2016,$23.36B
31 May 2016,$22.27B
30 Jun 2016,$21.86B
29 Jul 2016,$21.15B
31 Aug 2016,$19.93B
30 Sep 2016,$20.38B
31 Oct 2016,$20.16B
30 Nov 2016,$20.53B
30 Dec 2016,$20.27B
31 Jan 2017,$19.18B
28 Feb 2017,$19.95B
31 Mar 2017,$19.99B
28 Apr 2017,$19.81B
31 May 2017,$21.61B
30 Jun 2017,$22.07B
31 Jul 2017,$22.89B
31 Aug 2017,$23.37B
29 Sep 2017,$24.05B
31 Oct 2017,$25.56B
30 Nov 2017,$27.97B
29 Dec 2017,$28.32B
31 Jan 2018,$29.36B
28 Feb 2018,$29.47B
30 Mar 2018,$30.82B
30 Apr 2018,$30.65B
31 May 2018,$32.63B
29 Jun 2018,$33.76B
31 Jul 2018,$34.64B
31 Aug 2018,$34.12B
28 Sep 2018,$33.42B
31 Oct 2018,$30.71B
30 Nov 2018,$32.44B
31 Dec 2018,$32.5B
31 Jan 2019,$33B
28 Feb 2019,$35.97B
29 Mar 2019,$37.55B
30 Apr 2019,$36.46B
31 May 2019,$40.4B
28 Jun 2019,$40.41B
31 Jul 2019,$44.25B
30 Aug 2019,$48.77B
30 Sep 2019,$51.67B
31 Oct 2019,$48.6B
29 Nov 2019,$46.62B
31 Dec 2019,$45.29B
31 Jan 2020,$44.12B
28 Feb 2020,$37.8B
31 Mar 2020,$42.86B
30 Apr 2020,$43.61B
29 May 2020,$48.39B
5 Jun 2020,$45.81B
30 Jun 2020,$43.5B
17 Jul 2020,$42.65B
28 Jul 2020,$40.62B
3 Aug 2020,$37.11B
6 Aug 2020,$38.16B
31 Aug 2020,$42.29B
1 Sep 2020,$41.73B
17 Sep 2020,$44.05B
24 Sep 2020,$45.39B
30 Sep 2020,$43.92B
7 Oct 2020,$44.91B
15 Oct 2020,$45.56B
22 Oct 2020,$45.05B
30 Oct 2020,$44.16B
4 Nov 2020,$46.38B
11 Nov 2020,$51.15B
19 Nov 2020,$52.76B
27 Nov 2020,$53.77B
4 Dec 2020,$52.75B
18 Dec 2020,$49.77B
23 Dec 2020,$48.57B
31 Dec 2020,$49.66B
15 Jan 2021,$46.82B
22 Jan 2021,$46.97B
29 Jan 2021,$47.81B
19 Feb 2021,$51.79B
26 Feb 2021,$50.98B
17 Mar 2021,$48.98B
25 Mar 2021,$47.47B
6 Apr 2021,$47.01B
16 Apr 2021,$44.34B
21 Apr 2021,$42.76B
30 Apr 2021,$43.32B
7 May 2021,$42.72B
13 May 2021,$40.89B
19 May 2021,$42.44B
31 May 2021,$45B
4 Jun 2021,$47.06B
10 Jun 2021,$44.92B
30 Jun 2021,$44.49B
9 Jul 2021,$44.98B
16 Jul 2021,$44.34B
19 Jul 2021,$43.6B
30 Jul 2021,$45.19B
12 Aug 2021,$46.05B
13 Aug 2021,$46.9B
20 Aug 2021,$47.07B
31 Aug 2021,$47.49B
3 Sep 2021,$49.7B
10 Sep 2021,$48.98B
17 Sep 2021,$50.96B
24 Sep 2021,$51.62B
2 Oct 2021,$52.93B
9 Oct 2021,$51.14B
16 Oct 2021,$51.77B
23 Oct 2021,$51.48B
30 Oct 2021,$51.94B
6 Nov 2021,$52.29B
13 Nov 2021,$54.79B
20 Nov 2021,$55.17B
27 Nov 2021,$53.71B
4 Dec 2021,$51.77B
9 Dec 2021,$53.72B
