timeline,Shiseido
4 Jun 2021,$28.33B
11 Jun 2021,$28.55B
30 Jun 2021,$28.78B
9 Jul 2021,$27.86B
20 Jul 2021,$26.75B
30 Jul 2021,$26.27B
6 Aug 2021,$27.72B
13 Aug 2021,$27.57B
20 Aug 2021,$24.6B
27 Aug 2021,$25.71B
10 Sep 2021,$29.92B
17 Sep 2021,$28.75B
24 Sep 2021,$28.39B
2 Oct 2021,$26.84B
9 Oct 2021,$27.9B
23 Oct 2021,$25.82B
30 Oct 2021,$26.63B
6 Nov 2021,$27.51B
13 Nov 2021,$25.99B
20 Nov 2021,$25.92B
4 Dec 2021,$23.44B
9 Dec 2021,$23.92B
