timeline,Mitsui Bussan
31 Jan 2013,$22.22B
28 Feb 2013,$22.11B
29 Mar 2013,$21.13B
30 Apr 2013,$21.53B
31 May 2013,$20.77B
28 Jun 2013,$20.05B
31 Jul 2013,$21.16B
30 Aug 2013,$22.03B
30 Sep 2013,$22.95B
31 Oct 2013,$22.53B
29 Nov 2013,$22.83B
31 Dec 2013,$23.57B
31 Jan 2014,$22.29B
28 Feb 2014,$25.17B
31 Mar 2014,$23.48B
30 Apr 2014,$23.32B
30 May 2014,$24.81B
30 Jun 2014,$25.2B
31 Jul 2014,$25.85B
29 Aug 2014,$26.32B
30 Sep 2014,$26.84B
31 Oct 2014,$25.85B
28 Nov 2014,$25.41B
31 Dec 2014,$25.16B
30 Jan 2015,$23.39B
27 Feb 2015,$25.8B
31 Mar 2015,$25.48B
30 Apr 2015,$26.56B
29 May 2015,$27.58B
30 Jun 2015,$26.27B
31 Jul 2015,$25.47B
31 Aug 2015,$24.95B
30 Sep 2015,$21.18B
30 Oct 2015,$24.35B
30 Nov 2015,$23.86B
31 Dec 2015,$22.84B
29 Jan 2016,$21.42B
29 Feb 2016,$20.57B
31 Mar 2016,$20.47B
29 Apr 2016,$21.2B
31 May 2016,$21.1B
30 Jun 2016,$19.18B
29 Jul 2016,$19.1B
31 Aug 2016,$21.76B
30 Sep 2016,$21.97B
31 Oct 2016,$23.04B
30 Nov 2016,$24.36B
30 Dec 2016,$25.4B
31 Jan 2017,$26.18B
28 Feb 2017,$27.17B
31 Mar 2017,$25.49B
28 Apr 2017,$24.87B
31 May 2017,$23.64B
30 Jun 2017,$25.38B
31 Jul 2017,$25.37B
31 Aug 2017,$26B
29 Sep 2017,$26.29B
31 Oct 2017,$26.7B
30 Nov 2017,$26.96B
29 Dec 2017,$28.96B
31 Jan 2018,$30.26B
28 Feb 2018,$30.07B
30 Mar 2018,$28.08B
30 Apr 2018,$30.28B
31 May 2018,$29.37B
29 Jun 2018,$27.42B
31 Jul 2018,$27.74B
31 Aug 2018,$27.5B
28 Sep 2018,$29.99B
31 Oct 2018,$27.99B
30 Nov 2018,$26.34B
31 Dec 2018,$25.09B
31 Jan 2019,$26.31B
28 Feb 2019,$25.98B
29 Mar 2019,$25.51B
30 Apr 2019,$27.49B
31 May 2019,$25.7B
28 Jun 2019,$26.88B
31 Jul 2019,$27.26B
30 Aug 2019,$25.49B
30 Sep 2019,$27.1B
31 Oct 2019,$28.62B
11 Nov 2019,$29.37B
29 Nov 2019,$29.73B
31 Dec 2019,$29.64B
31 Jan 2020,$29.77B
6 Mar 2020,$26.24B
31 Mar 2020,$22.63B
20 Apr 2020,$22.13B
30 Apr 2020,$22.66B
29 May 2020,$24.48B
30 Jun 2020,$23.66B
5 Aug 2020,$24.58B
13 Aug 2020,$26.32B
20 Aug 2020,$25.97B
31 Aug 2020,$28.4B
9 Sep 2020,$28.48B
17 Sep 2020,$28.05B
30 Sep 2020,$26.76B
21 Oct 2020,$26.44B
30 Oct 2020,$24.19B
6 Nov 2020,$25.32B
13 Nov 2020,$26.43B
20 Nov 2020,$27.34B
1 Dec 2020,$26.7B
8 Dec 2020,$28.08B
15 Dec 2020,$27.92B
29 Dec 2020,$28.36B
31 Dec 2020,$28.04B
12 Jan 2021,$29.08B
1 Feb 2021,$28.65B
5 Feb 2021,$28.77B
15 Feb 2021,$30.53B
26 Feb 2021,$33.59B
1 Mar 2021,$33.97B
19 Mar 2021,$34.47B
31 Mar 2021,$33.45B
7 Apr 2021,$33.84B
13 Apr 2021,$33.27B
22 Apr 2021,$32.81B
30 Apr 2021,$33.28B
13 May 2021,$34.99B
19 May 2021,$35.47B
31 May 2021,$35.36B
4 Jun 2021,$37.38B
11 Jun 2021,$37.07B
30 Jun 2021,$36.19B
12 Jul 2021,$37.08B
21 Jul 2021,$35.77B
6 Aug 2021,$39.39B
13 Aug 2021,$39.21B
20 Aug 2021,$34.72B
27 Aug 2021,$35.25B
10 Sep 2021,$38.05B
17 Sep 2021,$37.34B
24 Sep 2021,$36.02B
2 Oct 2021,$35.24B
9 Oct 2021,$36.22B
23 Oct 2021,$36.81B
30 Oct 2021,$37.16B
6 Nov 2021,$36.05B
13 Nov 2021,$36.5B
20 Nov 2021,$38.27B
4 Dec 2021,$36.28B
9 Dec 2021,$37.31B
