,株式コード,ＥＤＩＮＥＴコード,上場区分,連結の有無,資本金,提出者名,所在地,提出者業種,緯度,経度,都道府県名
27,3402.T,E00873,上場,有,147873.0,東レ株式会社,中央区日本橋室町二丁目１番１号,その他製品,35.686796,139.77298100000002,東京都
28,3407.T,E00877,上場,有,103389.0,旭化成株式会社,千代田区有楽町一丁目１番２号,化学,35.67427,139.759278,東京都
29,4452.T,E00883,上場,有,85424.0,花王株式会社,中央区日本橋茅場町一丁目１４番１０号,化学,35.680428000000006,139.781156,東京都
30,4612.T,E00892,上場,有,671432.0,日本ペイントホールディングス株式会社,大阪市北区大淀北２－１－２,化学,34.705717,135.481865,大阪府
31,4613.T,E00893,上場,有,25658.0,関西ペイント株式会社,尼崎市神崎町３３番１号,化学,34.737931,135.449754,兵庫県
32,4502.T,E00919,上場,有,77923.0,武田薬品工業株式会社,大阪市中央区道修町四丁目１番１号,医薬品,34.688708,135.500228,大阪府
33,4503.T,E00920,上場,有,103000.0,アステラス製薬株式会社,中央区日本橋本町二丁目５番１号,医薬品,35.687263,139.77611000000002,東京都
34,4506.T,E00922,上場,有,22400.0,大日本住友製薬株式会社,大阪市中央区道修町２丁目６番８号,医薬品,34.688276,135.504302,大阪府
35,4507.T,E00923,上場,有,21279.0,塩野義製薬株式会社,大阪市中央区道修町３丁目１番８号,医薬品,34.688776000000004,135.503028,大阪府
36,4516.T,E00931,上場,有,5174.0,日本新薬株式会社,京都市南区吉祥院西ノ庄門口町１４番地,医薬品,34.982098,135.730025,京都府
37,4519.T,E00932,上場,有,73201.0,中外製薬株式会社,北区浮間五丁目５番１号,医薬品,35.784679,139.695754,東京都
38,4523.T,E00939,上場,有,44985.0,エーザイ株式会社,文京区小石川４丁目６番１０号,医薬品,35.714802,139.742581,東京都
39,4528.T,E00945,上場,有,17358.0,小野薬品工業株式会社,大阪市中央区道修町二丁目１番５号,医薬品,34.688715,135.506278,大阪府
40,4536.T,E00949,上場,有,8525.0,参天製薬株式会社,大阪市北区大深町４番２０号,医薬品,34.704254999999996,135.49473999999998,大阪府
41,4568.T,E00984,上場,有,50000.0,第一三共株式会社,中央区日本橋本町三丁目５番１号,医薬品,35.688320000000004,139.77506599999998,東京都
42,4901.T,E00988,上場,有,40363.0,富士フイルムホールディングス株式会社,港区西麻布２丁目２６番３０号,化学,35.659828000000005,139.719055,東京都
43,4911.T,E00990,上場,有,64506.0,株式会社資生堂,中央区銀座七丁目５番５号,化学,35.66986,139.76134,東京都
44,4912.T,E00991,上場,有,34433.0,ライオン株式会社,墨田区本所一丁目３番７号,化学,35.703494,139.796085,東京都
45,4967.T,E01047,上場,有,3450.0,小林製薬株式会社,大阪市中央区道修町４丁目４番１０号,化学,34.688705,135.499078,大阪府
46,4922.T,E01049,上場,有,4848.0,株式会社コーセー,中央区日本橋三丁目６番２号,化学,35.679627,139.772535,東京都
47,5019.T,E01084,上場,有,168351.0,出光興産株式会社,千代田区大手町一丁目２番１号,石油・石炭製品,35.687754,139.76226100000002,東京都
48,5108.T,E01086,上場,有,126354.0,株式会社ブリヂストン,中央区京橋三丁目１番１号,ゴム製品,35.6761,139.768382,東京都
49,5105.T,E01090,上場,有,55935.0,ＴＯＹＯ ＴＩＲＥ株式会社,伊丹市藤ノ木２丁目２番１３号,ゴム製品,34.783914,135.42311,兵庫県
50,5201.T,E01122,上場,有,90873.0,ＡＧＣ株式会社,千代田区丸の内一丁目５番１号新丸の内ビルディング,ガラス・土石製品,35.682621000000005,139.764244,東京都
51,7741.T,E01124,上場,有,6264.0,ＨＯＹＡ株式会社,新宿区西新宿六丁目１０番１号,精密機器,35.694553000000006,139.69092,東京都
52,5332.T,E01138,上場,有,35579.0,ＴＯＴＯ株式会社,北九州市小倉北区中島二丁目１番１号,ガラス・土石製品,33.872372999999996,130.87207800000002,福岡県
53,5301.T,E01162,上場,有,20436.0,東海カーボン株式会社,港区北青山一丁目２番３号,ガラス・土石製品,35.672986,139.72309099999998,東京都
54,6971.T,E01182,上場,有,115703.0,京セラ株式会社,京都市伏見区竹田鳥羽殿町６番地,電気機器,34.946736,135.75085,京都府
55,5401.T,E01225,上場,有,419524.0,日本製鉄株式会社,千代田区丸の内二丁目６番１号,金属,35.67857,139.76253300000002,東京都
56,5486.T,E01244,上場,有,26284.0,日立金属株式会社,港区港南一丁目２番７０号,金属,35.632490000000004,139.74300300000002,東京都
57,6326.T,E01267,上場,有,84130.0,株式会社クボタ,大阪市浪速区敷津東一丁目２番４７号,機械,34.659116999999995,135.50096299999998,大阪府
58,5802.T,E01333,上場,有,99736.0,住友電気工業株式会社,大阪市中央区北浜４丁目５番３３号,金属,34.692068,135.49930700000002,大阪府
59,6146.T,E01506,上場,有,14517.0,株式会社ディスコ,大田区大森北二丁目１３番１１号,機械,35.586822999999995,139.734005,東京都
60,6201.T,E01514,上場,有,80462.0,株式会社豊田自動織機,刈谷市豊田町２丁目１番地,輸送用機器,34.993261,136.997821,愛知県
61,6301.T,E01532,上場,有,71678.0,株式会社小松製作所,港区赤坂二丁目３番６号,機械,35.670873,139.74211,東京都
62,6383.T,E01551,上場,有,31865.0,株式会社ダイフク,大阪市西淀川区御幣島３丁目２番１１号,機械,34.715843,135.457781,大阪府
63,6367.T,E01570,上場,有,85032.0,ダイキン工業株式会社,大阪市北区中崎西二丁目４番１２号梅田センタービル,機械,34.706026,135.501957,大阪府
64,6305.T,E01585,上場,有,81577.0,日立建機株式会社,台東区東上野二丁目１６番１号,機械,35.709336,139.77688700000002,東京都
65,7259.T,E01593,上場,有,45049.0,株式会社アイシン,刈谷市朝日町２丁目１番地,輸送用機器,35.002136,137.014226,愛知県
66,6479.T,E01607,上場,有,68259.0,ミネベアミツミ株式会社,北佐久郡御代田町大字御代田４１０６番地７３,電気機器,36.31578,138.52301,長野県
67,4543.T,E01630,上場,有,38716.0,テルモ株式会社,渋谷区幡ヶ谷二丁目４４番１号,精密機器,35.679133,139.675704,東京都
68,6273.T,E01673,上場,有,61005.0,ＳＭＣ株式会社,千代田区外神田四丁目１４番１号,機械,35.700567,139.77271499999998,東京都
69,6324.T,E01712,上場,有,7100.0,株式会社ハーモニック・ドライブ・システムズ,品川区南大井６丁目２５番３号,機械,35.589055,139.730955,東京都
70,6501.T,E01737,上場,有,461731.0,株式会社日立製作所,千代田区丸の内一丁目６番６号,電気機器,35.683187,139.76576599999999,東京都
71,6502.T,E01738,上場,有,200175.0,株式会社東芝,港区芝浦一丁目１番１号,電気機器,35.651638,139.757975,東京都
72,6503.T,E01739,上場,有,175820.0,三菱電機株式会社,千代田区丸の内二丁目７番３号,電気機器,35.678607,139.764936,東京都
73,6506.T,E01741,上場,有,30562.0,株式会社安川電機,北九州市八幡西区黒崎城石２番１号,電気機器,33.869087,130.766571,福岡県
74,6645.T,E01755,上場,有,64099.0,オムロン株式会社,京都市下京区塩小路通堀川東入南不動堂町８０１番地,電気機器,34.986647999999995,135.754425,京都府
75,6701.T,E01765,上場,有,427831.0,日本電気株式会社,港区芝五丁目７番１号,電気機器,35.649428,139.74794,東京都
76,6702.T,E01766,上場,有,324625.0,富士通株式会社,川崎市中原区上小田中４丁目１番１号,電気機器,35.582553999999995,139.64226100000002,神奈川県
77,6752.T,E01772,上場,有,259168.0,パナソニック株式会社,門真市大字門真１００６番地,電気機器,34.741946999999996,135.571085,大阪府
78,6753.T,E01773,上場,有,5000.0,シャープ株式会社,堺市堺区匠町１番地,電気機器,34.595932,135.43332900000001,大阪府
79,6758.T,E01777,上場,有,880214.0,ソニーグループ株式会社,港区港南１丁目７番１号,電気機器,35.631111,139.74385700000002,東京都
80,6762.T,E01780,上場,有,32641.0,ＴＤＫ株式会社,中央区日本橋二丁目５番１号,電気機器,35.681472,139.773827,東京都
81,6988.T,E01888,上場,有,26783.0,日東電工株式会社,茨木市下穂積１丁目１番２号,化学,34.813959999999994,135.557059,大阪府
82,6902.T,E01892,上場,有,187457.0,株式会社デンソー,刈谷市昭和町１丁目１番地,輸送用機器,34.995672,137.008418,愛知県
83,6981.T,E01914,上場,有,69376.0,株式会社村田製作所,長岡京市東神足１丁目１０番１号,電気機器,34.923755,135.701854,京都府
84,6586.T,E01920,上場,有,24206.0,株式会社マキタ,安城市住吉町３丁目１１番８号,機械,34.984835,137.080735,愛知県
85,6952.T,E01935,上場,有,48592.0,カシオ計算機株式会社,渋谷区本町１－６－２,電気機器,35.680690999999996,139.68483700000002,東京都
86,6954.T,E01946,上場,有,69014.0,ファナック株式会社,南都留郡忍野村忍草字古馬場３５８０番地,電気機器,35.457955,138.83471,山梨県
87,6857.T,E01950,上場,有,32363.0,株式会社アドバンテスト,千代田区丸の内一丁目６番２号,電気機器,35.684121999999995,139.766415,東京都
88,6963.T,E01953,上場,有,86969.0,ローム株式会社,京都市右京区西院溝崎町２１番地,電気機器,34.994339000000004,135.728674,京都府
89,6965.T,E01955,上場,有,34964.0,浜松ホトニクス株式会社,浜松市東区市野町１１２６番地の１,電気機器,34.749984999999995,137.777763,静岡県
90,6861.T,E01967,上場,有,30637.0,株式会社キーエンス,大阪市東淀川区東中島１－３－１４,電気機器,34.727385,135.50301000000002,大阪府
91,6594.T,E01975,上場,有,87784.0,日本電産株式会社,京都市南区久世殿城町３３８番地,電気機器,34.951319,135.716126,京都府
92,6920.T,E01991,上場,有,931.0,レーザーテック株式会社,横浜市港北区新横浜２丁目１０番地１,電気機器,35.50694,139.611081,神奈川県
93,6869.T,E02015,上場,有,12723.0,シスメックス株式会社,神戸市中央区脇浜海岸通１丁目５番１号,電気機器,34.699,135.21667,兵庫県
94,6723.T,E02081,上場,有,10000.0,ルネサスエレクトロニクス株式会社,江東区豊洲三丁目２番２４号,電気機器,35.657587,139.79497,東京都
95,7011.T,E02126,上場,有,265608.0,三菱重工業株式会社,千代田区丸の内三丁目２番３号,機械,35.677699,139.76173500000002,東京都
96,7201.T,E02142,上場,有,605813.0,日産自動車株式会社,横浜市神奈川区宝町２番地,輸送用機器,35.480369,139.66071399999998,神奈川県
97,7202.T,E02143,上場,有,40644.0,いすゞ自動車株式会社,品川区南大井６丁目２６番１号,輸送用機器,35.58814,139.73206399999998,東京都
98,7203.T,E02144,上場,有,635401.0,トヨタ自動車株式会社,豊田市トヨタ町１番地,輸送用機器,35.052363,137.158122,愛知県
99,7270.T,E02152,上場,有,153795.0,株式会社ＳＵＢＡＲＵ,渋谷区恵比寿一丁目２０番８号,輸送用機器,35.646786999999996,139.713393,東京都
100,7261.T,E02163,上場,有,283957.0,マツダ株式会社,安芸郡府中町新地３番１号,輸送用機器,34.378001,132.503827,広島県
101,7267.T,E02166,上場,有,86067.0,本田技研工業株式会社,港区南青山二丁目１番１号,輸送用機器,35.672090999999995,139.723793,東京都
102,7269.T,E02167,上場,有,138318.0,スズキ株式会社,浜松市南区高塚町３００番地,輸送用機器,34.692898,137.687927,静岡県
103,7272.T,E02168,上場,有,85905.0,ヤマハ発動機株式会社,磐田市新貝２５００番地,輸送用機器,34.722804,137.878302,静岡県
104,7309.T,E02257,上場,有,35613.0,株式会社シマノ,堺市堺区老松町３丁７７番地,輸送用機器,34.560002000000004,135.465949,大阪府
105,7731.T,E02271,上場,有,65476.0,株式会社ニコン,港区港南ニ丁目１５番３号,精密機器,35.625433,139.742085,東京都
106,7733.T,E02272,上場,有,124643.0,オリンパス株式会社,八王子市石川町２９５１番地,精密機器,35.666963,139.359023,東京都
107,7751.T,E02274,上場,有,174762.0,キヤノン株式会社,大田区下丸子三丁目３０番２号,電気機器,35.566696,139.68356,東京都
108,7747.T,E02349,上場,有,18860.0,朝日インテック株式会社,瀬戸市暁町３番地１００,精密機器,35.243239,137.098498,愛知県
109,7951.T,E02362,上場,有,28534.0,ヤマハ株式会社,浜松市中区中沢町１０番１号,その他製品,34.719243,137.73359399999998,静岡県
110,7974.T,E02367,上場,有,10065.0,任天堂株式会社,京都市南区上鳥羽鉾立町１１番地１,その他製品,34.969767,135.756393,京都府
111,7956.T,E02404,上場,有,5199.0,ピジョン株式会社,中央区日本橋久松町４番４号,その他製品,35.689958000000004,139.78356200000002,東京都
112,9697.T,E02417,上場,有,33239.0,株式会社カプコン,大阪市中央区内平野町三丁目１番３号,情報・通信業,34.687544,135.511359,大阪府
113,5982.T,E02438,上場,有,3164.0,株式会社マルゼン,台東区根岸二丁目１９番１８号,金属,35.725638000000004,139.77556299999998,東京都
114,7832.T,E02481,上場,有,10000.0,株式会社バンダイナムコホールディングス,港区芝五丁目３７番８号,その他製品,35.644644,139.744531,東京都
115,8001.T,E02497,上場,有,253448.0,伊藤忠商事株式会社,大阪市北区梅田三丁目１番３号,卸売業,34.702887,135.495324,大阪府
116,8002.T,E02498,上場,有,262947.0,丸紅株式会社,千代田区大手町一丁目４番２号,卸売業,35.690624,139.75971,東京都
117,8015.T,E02505,上場,有,64936.0,豊田通商株式会社,名古屋市中村区名駅四丁目９番８号（センチュリー豊田ビル）,卸売業,35.169090000000004,136.886848,愛知県
118,8031.T,E02513,上場,有,342384.0,三井物産株式会社,千代田区大手町一丁目２番１号,卸売業,35.687754,139.76226100000002,東京都
119,8053.T,E02528,上場,有,219893.0,住友商事株式会社,千代田区大手町２丁目３番２号,卸売業,35.687151,139.767962,東京都
120,8035.T,E02652,上場,有,54961.0,東京エレクトロン株式会社,港区赤坂五丁目３番１号,電気機器,35.673326,139.735864,東京都
121,3038.T,E02999,上場,有,500.0,株式会社神戸物産,加古川市加古川町平野１２５番１,卸売業,34.760353,134.844702,兵庫県
122,8267.T,E03061,上場,有,220007.0,イオン株式会社,千葉市美浜区中瀬１丁目５番地１,小売業,35.651492,140.038112,千葉県
123,9843.T,E03144,上場,有,13370.0,株式会社ニトリホールディングス,札幌市北区新琴似７条１丁目２番３９号,小売業,43.110221,141.334797,北海道
124,9983.T,E03217,上場,有,10273.0,株式会社ファーストリテイリング,山口市佐山７１７番地１,小売業,34.034355,131.334405,山口県
125,7532.T,E03280,上場,有,22699.0,株式会社パン・パシフィック・インターナショナルホールディングス,目黒区青葉台二丁目１９番１０号,小売業,35.648761,139.693095,東京都
126,7564.T,E03296,上場,無,1622.0,株式会社ワークマン,伊勢崎市柴町１７３２番地,小売業,36.285301000000004,139.171705,群馬県
127,2651.T,E03345,上場,有,58506.0,株式会社ローソン,品川区大崎１丁目１１番２号,小売業,35.618651,139.731943,東京都
128,2702.T,E03366,上場,有,24113.0,日本マクドナルドホールディングス株式会社,新宿区西新宿六丁目５番１号,小売業,35.693177,139.693166,東京都
129,3349.T,E03446,上場,有,4178.0,株式会社コスモス薬品,福岡市博多区博多駅東二丁目１０番１号第一福岡ビルＳ館４階,小売業,33.587716,130.42376299999998,福岡県
130,3382.T,E03462,上場,有,50000.0,株式会社セブン＆アイ・ホールディングス,千代田区二番町８番地８,小売業,35.685844,139.734046,東京都
131,3391.T,E03464,上場,有,6563.0,株式会社ツルハホールディングス,札幌市東区北２４条東２０丁目１番２１号,小売業,43.094869,141.382002,北海道
132,3064.T,E03497,上場,有,1837.0,株式会社ＭｏｎｏｔａＲＯ,尼崎市竹谷町二丁目１８３番地,小売業,34.718615,135.40458600000002,兵庫県
133,8331.T,E03556,上場,有,145069.0,株式会社千葉銀行,千葉市中央区千葉港１番２号,銀行業,35.609272,140.105692,千葉県
134,8306.T,E03606,上場,有,2141513.0,株式会社三菱ＵＦＪフィナンシャル・グループ,千代田区丸の内二丁目７番１号,銀行業,35.678609,139.764329,東京都
135,8308.T,E03610,上場,有,50552.0,株式会社りそなホールディングス,江東区木場一丁目５番６５号,銀行業,35.66733,139.803271,東京都
136,8309.T,E03611,上場,有,261608.0,三井住友トラスト・ホールディングス株式会社,千代田区丸の内一丁目４番１号,銀行業,35.684356,139.76493200000002,東京都
137,8316.T,E03614,上場,有,2341878.0,株式会社三井住友フィナンシャルグループ,千代田区丸の内一丁目１番２号,銀行業,35.684975,139.762366,東京都
138,8411.T,E03615,上場,有,2256767.0,株式会社みずほフィナンシャルグループ,千代田区大手町一丁目５番５号,銀行業,35.685321,139.76453600000002,東京都
139,8572.T,E03693,上場,有,63832.0,アコム株式会社,千代田区丸の内二丁目１番１号,その他金融業,35.679154,139.762075,東京都
140,8421.T,E03729,上場,有,690998.0,信金中央金庫,中央区八重洲一丁目３番７号,その他金融業,35.682848,139.771858,東京都
141,8604.T,E03752,上場,有,594493.0,野村ホールディングス株式会社,中央区日本橋一丁目１３番１号,証券、商品先物取引業,35.6822,139.775596,東京都
142,8601.T,E03753,上場,有,247397.0,株式会社大和証券グループ本社,千代田区丸の内一丁目９番１号,証券、商品先物取引業,35.68173,139.766185,東京都
143,8697.T,E03814,上場,有,11500.0,株式会社日本取引所グループ,中央区日本橋兜町２番１号,その他金融業,35.682536999999996,139.778873,東京都
144,8766.T,E03847,上場,有,150000.0,東京海上ホールディングス株式会社,千代田区丸の内一丁目２番１号,保険業,35.683118,139.763278,東京都
145,8795.T,E03851,上場,有,207111.0,株式会社Ｔ＆Ｄホールディングス,中央区日本橋２丁目７番１号,保険業,35.681913,139.774275,東京都
146,8725.T,E03854,上場,有,100276.0,ＭＳ＆ＡＤインシュアランスグループホールディングス株式会社,中央区新川二丁目２７番２号,保険業,35.674251,139.784321,東京都
147,9706.T,E03863,上場,有,17489.0,日本空港ビルデング株式会社,大田区羽田空港三丁目３番２号第１旅客ターミナルビル,不動産業,35.54886,139.78460800000002,東京都
148,9007.T,E04088,上場,有,60359.0,小田急電鉄株式会社,渋谷区代々木２丁目２８番１２号,陸運業,35.684577000000004,139.699628,東京都
149,9005.T,E04090,上場,有,121724.0,東急株式会社,渋谷区南平台町５番６号,陸運業,35.654937,139.697816,東京都
150,9001.T,E04094,上場,有,102135.0,東武鉄道株式会社,墨田区押上一丁目１番２号,陸運業,35.710256,139.81079499999998,東京都
151,9048.T,E04101,上場,有,84185.0,名古屋鉄道株式会社,名古屋市中村区名駅一丁目２番４号,陸運業,35.168658,136.884409,愛知県
152,9041.T,E04102,上場,有,126476.0,近鉄グループホールディングス株式会社,大阪市天王寺区上本町６丁目１番５５号,陸運業,34.665579,135.520925,大阪府
153,9042.T,E04103,上場,有,99474.0,阪急阪神ホールディングス株式会社,池田市栄町１番１号,陸運業,34.821515999999995,135.42582,大阪府
154,9020.T,E04147,上場,有,200000.0,東日本旅客鉄道株式会社,渋谷区代々木二丁目２番２号,陸運業,35.687003999999995,139.70077,東京都
155,9021.T,E04148,上場,有,100000.0,西日本旅客鉄道株式会社,大阪市北区芝田二丁目４番２４号,陸運業,34.707427,135.495112,大阪府
156,9022.T,E04149,上場,有,112000.0,東海旅客鉄道株式会社,名古屋市中村区名駅一丁目１番４号,陸運業,35.170496,136.881923,愛知県
157,9101.T,E04235,上場,有,144319.0,日本郵船株式会社,千代田区丸の内二丁目３番２号,海運業,35.681517,139.76271599999998,東京都
158,9104.T,E04236,上場,有,65400.0,株式会社商船三井,港区虎ノ門二丁目１番１号,海運業,35.66985,139.746873,東京都
159,9107.T,E04237,上場,有,75457.0,川崎汽船株式会社,神戸市中央区海岸通８番,海運業,34.686612,135.192279,兵庫県
160,9201.T,E04272,上場,有,181352.0,日本航空株式会社,品川区東品川二丁目４番１１号,空運業,35.619848,139.751169,東京都
161,9202.T,E04273,上場,有,318789.0,ＡＮＡホールディングス株式会社,港区東新橋一丁目５番２号,空運業,35.665619,139.760797,東京都
162,9062.T,E04319,上場,有,70175.0,日本通運株式会社,千代田区神田和泉町２番地,陸運業,35.699909000000005,139.78035500000001,東京都
163,9433.T,E04425,上場,有,141852.0,ＫＤＤＩ株式会社,新宿区西新宿二丁目３番２号,情報・通信業,35.687929,139.69483799999998,東京都
164,9434.T,E04426,上場,有,204309.0,ソフトバンク株式会社,港区海岸一丁目７番１号,情報・通信業,35.655214,139.76067,東京都
165,9432.T,E04430,上場,有,937950.0,日本電信電話株式会社,千代田区大手町一丁目５番１号,情報・通信業,35.685704,139.763744,東京都
166,9503.T,E04499,上場,有,489320.0,関西電力株式会社,大阪市北区中之島３丁目６番１６号,電気・ガス業,34.692640999999995,135.492568,大阪府
167,9506.T,E04501,上場,有,251441.0,東北電力株式会社,仙台市青葉区本町一丁目７番１号,電気・ガス業,38.265586,140.87833899999998,宮城県
168,9502.T,E04502,上場,有,430777.0,中部電力株式会社,名古屋市東区東新町１番地,電気・ガス業,35.169939,136.913687,愛知県
169,9531.T,E04514,上場,有,141844.0,東京瓦斯株式会社,港区海岸一丁目５番２０号,電気・ガス業,35.65345,139.758554,東京都
170,9533.T,E04517,上場,有,33072.0,東邦瓦斯株式会社,名古屋市熱田区桜田町１９番１８号,電気・ガス業,35.140535,136.90911,愛知県
171,9532.T,E04520,上場,有,132166.0,大阪瓦斯株式会社,大阪市中央区平野町四丁目１番２号,電気・ガス業,34.688288,135.500537,大阪府
172,4661.T,E04707,上場,有,63201.0,株式会社オリエンタルランド,浦安市舞浜１番地１,サービス業,35.626359,139.884619,千葉県
173,4324.T,E04760,上場,有,74609.0,株式会社電通グループ,港区東新橋一丁目８番１号,サービス業,35.664442,139.76238700000002,東京都
174,8591.T,E04762,上場,有,221111.0,オリックス株式会社,港区浜松町２丁目４番１号世界貿易センタービル南館内,その他金融業,35.654586,139.756251,東京都
175,9735.T,E04773,上場,有,66392.0,セコム株式会社,渋谷区神宮前一丁目５番１号,サービス業,35.671326,139.70712,東京都
176,9719.T,E04830,上場,有,21152.0,ＳＣＳＫ株式会社,江東区豊洲三丁目２番２０号,情報・通信業,35.656877,139.79566200000002,東京都
177,9684.T,E04859,上場,有,23664.0,株式会社スクウェア・エニックス・ホールディングス,新宿区新宿六丁目２７番３０号,情報・通信業,35.696684999999995,139.70869199999999,東京都
178,9613.T,E04911,上場,有,142520.0,株式会社エヌ・ティ・ティ・データ,江東区豊洲三丁目３番３号,情報・通信業,35.655846000000004,139.7963,東京都
179,9435.T,E04948,上場,有,54259.0,株式会社光通信,豊島区西池袋一丁目４番１０号,情報・通信業,35.728321,139.708981,東京都
180,4704.T,E04999,上場,有,18386.0,トレンドマイクロ株式会社,渋谷区代々木二丁目１番１号新宿マインズタワー,情報・通信業,35.686541,139.698851,東京都
181,4689.T,E05000,上場,有,237404.0,Ｚホールディングス株式会社,千代田区紀尾井町１番３号,情報・通信業,35.679584000000006,139.736897,東京都
182,4684.T,E05025,上場,有,19178.0,株式会社オービック,中央区京橋二丁目４番１５号,情報・通信業,35.676667,139.76926,東京都
183,4716.T,E05027,上場,無,24935.0,日本オラクル株式会社,港区北青山２丁目５番８号,情報・通信業,35.671171,139.718615,東京都
184,4739.T,E05059,上場,有,21764.0,伊藤忠テクノソリューションズ株式会社,港区虎ノ門四丁目１番１号,情報・通信業,35.665437,139.745261,東京都
185,4307.T,E05062,上場,有,22414.0,株式会社野村総合研究所,千代田区大手町一丁目９番２号,情報・通信業,35.688781,139.764566,東京都
186,4751.T,E05072,上場,有,7203.0,株式会社サイバーエージェント,渋谷区宇田川町４０番１号,サービス業,35.662469,139.696102,東京都
187,4755.T,E05080,上場,有,205924.0,楽天グループ株式会社,世田谷区玉川一丁目１４番１号,サービス業,35.610552,139.630067,東京都
188,4768.T,E05099,上場,有,10374.0,株式会社大塚商会,千代田区飯田橋二丁目１８番４号,情報・通信業,35.69978,139.750922,東京都
189,2331.T,E05309,上場,有,18675.0,綜合警備保障株式会社,港区元赤坂一丁目６番６号,サービス業,35.678369,139.73328600000002,東京都
190,8439.T,E05346,上場,有,81129.0,東京センチュリー株式会社,千代田区神田練塀町３番地富士ソフトビル,その他金融業,35.700306,139.774074,東京都
191,3769.T,E05476,上場,有,4712.0,ＧＭＯペイメントゲートウェイ株式会社,渋谷区道玄坂一丁目２番３号,情報・通信業,35.657655,139.700311,東京都
192,3817.T,E05640,上場,有,1000.0,株式会社ＳＲＡホールディングス,豊島区南池袋二丁目３２番８号,情報・通信業,35.726626,139.71548,東京都
193,3092.T,E05725,上場,有,1359.0,株式会社ＺＯＺＯ,千葉市美浜区中瀬二丁目６番地１,小売業,35.649467,140.039181,千葉県
