,株式コード,資本金,提出者名,提出者業種,残業時間,有休消化率,待遇面の満足度,社員の士気,風通しの良さ,社員の相互尊重,20代成長環境,人材の長期育成,法令遵守意識,人事評価の適正感,従業員数(連結),平均年齢,平均年収,設立年,上場年
88,9143.T,11882.0,ＳＧホールディングス株式会社,陸運業,26.2,65.0,2.1,2.4,2.8,2.9,2.4,2.3,3.6,2.2,52900,37.6,7040,2006,2017
89,8421.T,690998.0,信金中央金庫,その他金融業,22.3,39.9,3.6,2.5,2.9,3.0,2.5,2.5,4.7,2.4,0,0,0,None,None
90,7270.T,153795.0,株式会社ＳＵＢＡＲＵ,輸送用機器,28.8,76.0,2.7,2.6,2.9,2.8,2.9,2.5,3.6,2.7,36070,38.9,6510,1953,1960
91,1928.T,202591.0,積水ハウス株式会社,建設業,34.7,35.7,3.6,3.1,2.9,2.8,3.0,2.7,4.3,4.1,28362,43.0,7920,1960,1970
92,2503.T,102045.0,キリンホールディングス株式会社,食料品,30.3,62.7,4.4,3.3,3.7,3.9,2.9,3.5,4.9,3.0,29818,42.6,8730,1907,1949
93,8604.T,594493.0,野村ホールディングス株式会社,証券、商品先物取引業,31.8,44.5,4.1,3.2,2.9,3.2,3.9,3.3,4.5,3.4,26647,41.9,10130,1925,1961
94,3407.T,103389.0,旭化成株式会社,化学,23.1,71.8,4.5,3.7,4.4,4.0,3.9,3.9,4.8,3.5,46124,41.5,7510,1931,1949
95,6701.T,427831.0,日本電気株式会社,電気機器,28.1,54.2,3.2,2.7,3.4,3.4,2.9,2.9,4.7,2.7,114714,43.7,8290,1899,1949
96,6506.T,30562.0,株式会社安川電機,電気機器,25.6,67.6,3.3,2.8,3.9,3.1,2.9,2.8,4.0,2.6,12925,42.0,7640,1915,1949
97,8309.T,261608.0,三井住友トラスト・ホールディングス株式会社,銀行業,65.5,11.0,3.2,2.8,2.9,2.9,3.1,2.9,3.2,2.9,22139,51.5,12610,2002,2002
98,1605.T,290809.0,株式会社ＩＮＰＥＸ,金属,20.1,67.9,3.4,2.5,2.8,3.4,2.3,2.2,4.7,2.4,3153,39.5,9070,2006,2006
99,5020.T,100000.0,ＥＮＥＯＳホールディングス株式会社,石油・石炭製品,23.2,71.2,3.6,2.9,3.3,3.0,2.7,2.8,4.1,2.9,40753,44.7,10350,2010,2010
100,4528.T,17358.0,小野薬品工業株式会社,医薬品,23.0,51.8,3.9,3.1,2.8,4.1,3.1,2.6,3.5,2.5,3607,42.6,9370,1947,1962
101,9101.T,144319.0,日本郵船株式会社,海運業,32.0,58.8,4.3,3.9,4.4,4.6,3.5,4.2,4.6,3.0,34695,39.9,9550,1885,1949
102,6586.T,24206.0,株式会社マキタ,機械,37.3,42.0,3.1,2.6,2.5,2.9,2.8,2.2,4.0,2.8,19210,40.5,6980,1938,1962
103,6479.T,68259.0,ミネベアミツミ株式会社,電気機器,26.1,51.3,2.7,2.6,2.6,2.8,3.5,2.5,3.7,2.6,83519,44.7,6890,1951,1961
104,4716.T,24935.0,日本オラクル株式会社,情報・通信業,28.0,62.4,2.8,3.0,3.7,2.9,3.3,2.3,4.6,2.8,0,43.6,10730,1985,1999
105,2587.T,168384.0,サントリー食品インターナショナル株式会社,食料品,24.3,82.5,4.2,4.6,4.5,4.6,3.9,4.1,4.5,3.6,24139,41.3,11180,2009,2013
106,8697.T,11500.0,株式会社日本取引所グループ,その他金融業,31.6,60.5,3.8,2.9,3.5,3.4,2.8,2.8,4.8,2.8,1197,45.3,10280,2001,2004
107,6988.T,26783.0,日東電工株式会社,化学,23.7,57.3,3.9,2.7,3.3,3.1,3.0,2.6,4.0,2.9,25964,40.4,7340,1918,1962
108,5201.T,90873.0,ＡＧＣ株式会社,ガラス・土石製品,31.3,59.5,3.7,3.2,3.9,3.4,3.6,2.9,4.6,2.9,56430,43.2,7950,1950,1950
