株式コード,資本金,提出者名,提出者業種,企業名,残業時間,有休消化率,待遇面の満足度,社員の士気,風通しの良さ,社員の相互尊重,20代成長環境,人材の長期育成,法令遵守意識,人事評価の適正感,設立年月日,上場年月日,従業員数(連結),平均年齢,平均年収
2503.T,102045.0,キリンホールディングス株式会社,食料品,キリンホールディングス株式会社,30.3,62.7,4.4,3.3,3.7,3.9,2.9,3.5,4.9,3.0,1907年2月23日,1949年5月,"29,818人",42.6歳,"8,730千円"
8604.T,594493.0,野村ホールディングス株式会社,証券、商品先物取引業,野村ホールディングス株式会社,31.8,44.5,4.1,3.2,2.9,3.2,3.9,3.3,4.5,3.4,1925年12月25日,1961年10月,"26,647人",41.9歳,"10,130千円"
3407.T,103389.0,旭化成株式会社,化学,旭化成株式会社（化学）,23.1,71.8,4.5,3.7,4.4,4.0,3.9,3.9,4.8,3.5,1931年5月21日,1949年5月,"46,124人",41.5歳,"7,510千円"
6701.T,427831.0,日本電気株式会社,電気機器,日本電気株式会社（NEC）,28.1,54.2,3.2,2.7,3.4,3.4,2.9,2.9,4.7,2.7,1899年7月17日,1949年5月,"114,714人",43.7歳,"8,290千円"
6506.T,30562.0,株式会社安川電機,電気機器,株式会社安川電機,25.6,67.6,3.3,2.8,3.9,3.1,2.9,2.8,4.0,2.6,1915年7月,1949年5月,"12,925人",42.0歳,"7,640千円"
8309.T,261608.0,三井住友トラスト・ホールディングス株式会社,銀行業,三井住友トラスト・ホールディングス株式会社,65.5,11.0,3.2,2.8,2.9,2.9,3.1,2.9,3.2,2.9,2002年2月1日,2002年1月31日,"22,139人",51.5歳,"12,610千円"
1605.T,290809.0,株式会社ＩＮＰＥＸ,金属,株式会社INPEX（旧：国際石油開発帝石株式会社）,20.1,67.9,3.4,2.5,2.8,3.4,2.3,2.2,4.7,2.4,2006年4月3日,2006年4月3日,"3,153人",39.5歳,"9,070千円"
5020.T,100000.0,ＥＮＥＯＳホールディングス株式会社,石油・石炭製品,ENEOSホールディングス株式会社,23.2,71.2,3.6,2.9,3.3,3.0,2.7,2.8,4.1,2.9,2010年4月1日,2010年4月1日,"40,753人",44.7歳,"10,350千円"
4528.T,17358.0,小野薬品工業株式会社,医薬品,小野薬品工業株式会社,23.0,51.8,3.9,3.1,2.8,4.1,3.1,2.6,3.5,2.5,1947年7月4日,1962年6月,"3,607人",42.6歳,"9,370千円"
9101.T,144319.0,日本郵船株式会社,海運業,日本郵船株式会社,32.0,58.8,4.3,3.9,4.4,4.6,3.5,4.2,4.6,3.0,1885年9月29日,1949年5月,"34,695人",39.9歳,"9,550千円"
6586.T,24206.0,株式会社マキタ,機械,株式会社マキタ（機械）,37.3,42.0,3.1,2.6,2.5,2.9,2.8,2.2,4.0,2.8,1938年12月10日,1962年8月,"19,210人",40.5歳,"6,980千円"
6479.T,68259.0,ミネベアミツミ株式会社,電気機器,ミネベアミツミ株式会社,26.1,51.3,2.7,2.6,2.6,2.8,3.5,2.5,3.7,2.6,1951年7月16日,1961年10月,"83,519人",44.7歳,"6,890千円"
4716.T,24935.0,日本オラクル株式会社,情報・通信業,日本オラクル株式会社,28.0,62.4,2.8,3.0,3.7,2.9,3.3,2.3,4.6,2.8,1985年10月15日,1999年2月5日,None,43.6歳,"10,730千円"
2587.T,168384.0,サントリー食品インターナショナル株式会社,食料品,サントリー食品インターナショナル株式会社,24.3,82.5,4.2,4.6,4.5,4.6,3.9,4.1,4.5,3.6,2009年1月23日,2013年7月3日,"24,139人",41.3歳,"11,180千円"
8697.T,11500.0,株式会社日本取引所グループ,その他金融業,株式会社日本取引所グループ,31.6,60.5,3.8,2.9,3.5,3.4,2.8,2.8,4.8,2.8,2001年4月1日,2004年4月1日,"1,197人",45.3歳,"10,280千円"
6988.T,26783.0,日東電工株式会社,化学,日東電工株式会社（化学）,23.7,57.3,3.9,2.7,3.3,3.1,3.0,2.6,4.0,2.9,1918年10月25日,1962年8月,"25,964人",40.4歳,"7,340千円"
5201.T,90873.0,ＡＧＣ株式会社,ガラス・土石製品,AGC株式会社,31.3,59.5,3.7,3.2,3.9,3.4,3.6,2.9,4.6,2.9,1950年6月1日,1950年6月,"56,430人",43.2歳,"7,950千円"
9021.T,100000.0,西日本旅客鉄道株式会社,陸運業,西日本旅客鉄道株式会社（JR西日本）,16.5,74.6,2.8,2.6,2.7,3.2,2.3,2.7,4.7,2.5,1987年4月1日,1996年10月8日,"48,737人",38.4歳,"6,110千円"
6383.T,31865.0,株式会社ダイフク,機械,株式会社ダイフク（機械）,34.9,54.6,3.4,2.9,3.3,2.9,2.9,2.5,3.6,2.4,1937年5月20日,1961年10月,"11,874人",42.7歳,"8,460千円"
4188.T,50000.0,株式会社三菱ケミカルホールディングス,化学,株式会社三菱ケミカルホールディングス,12.1,70.7,3.0,2.8,2.9,3.5,2.8,2.8,3.7,2.9,2005年10月3日,2005年10月1日,"69,607人",45.6歳,"10,110千円"
6146.T,14517.0,株式会社ディスコ,機械,株式会社ディスコ（人材）,42.2,47.0,2.7,2.8,3.5,2.9,3.6,2.1,3.6,2.6,1940年3月2日,1989年10月31日,"4,238人",38.1歳,"9,650千円"
5802.T,99736.0,住友電気工業株式会社,金属,住友電気工業株式会社,24.5,62.4,3.8,2.8,3.3,3.0,3.0,3.0,4.7,2.6,1911年8月,1949年5月,"286,784人",41.7歳,"7,780千円"
8951.T,,日本ビルファンド投資法人,不動産業,日本ビルファンドマネジメント株式会社,None,None,3.0,2.9,2.9,2.8,2.9,2.9,2.9,3.0,None,2001年9月10日,None,None,None
7259.T,45049.0,株式会社アイシン,輸送用機器,株式会社アイシン（旧：アイシン精機株式会社）,21.8,90.2,3.5,2.6,2.9,2.8,2.8,2.5,4.5,2.8,1949年6月1日,1952年7月,"117,502人",39.5歳,"6,990千円"
3769.T,4712.0,ＧＭＯペイメントゲートウェイ株式会社,情報・通信業,GMOペイメントゲートウェイ株式会社,35.1,64.8,2.9,3.9,3.3,2.9,4.0,2.4,4.0,3.7,1995年3月8日,2005年4月4日,625人,34.3歳,"6,860千円"
3064.T,1837.0,株式会社ＭｏｎｏｔａＲＯ,小売業,株式会社MonotaRO,14.3,79.6,2.9,3.9,3.9,3.7,3.3,3.2,3.4,3.3,2000年10月19日,2006年12月6日,880人,37.0歳,"5,590千円"
9202.T,318789.0,ＡＮＡホールディングス株式会社,空運業,ANAホールディングス株式会社,2.0,96.5,3.0,3.3,3.1,3.4,3.4,3.4,3.4,3.4,1952年12月27日,1961年10月,"46,580人",45.2歳,"5,630千円"
4324.T,74609.0,株式会社電通グループ,サービス業,株式会社電通グループ,None,None,None,None,None,None,None,None,None,None,1906年12月27日,2001年11月30日,"62,661人",46.4歳,"13,410千円"
