企業名,残業時間,有休消化率,待遇面の満足度,社員の士気,風通しの良さ,社員の相互尊重,20代成長環境,人材の長期育成,法令遵守意識,人事評価の適正感
シャープ株式会社,22.4,60.4,2.6,2.6,3.0,3.3,2.9,2.5,4.4,2.8
ソニーグループ株式会社（旧：ソニー株式会社）,34.9,61.0,4.1,3.7,4.1,3.7,4.1,3.0,4.6,3.8
TDK株式会社（精密機器）,26.0,49.1,3.3,2.6,3.7,2.9,2.8,2.6,4.0,2.7
日東電工株式会社（化学）,23.7,57.3,3.9,2.7,3.3,3.1,3.0,2.6,4.0,2.9
株式会社デンソー（自動車部品）,24.7,71.2,4.3,3.0,3.3,3.5,3.0,3.2,4.8,2.9
株式会社村田製作所,23.0,63.7,3.7,3.6,3.9,3.7,3.6,3.3,4.7,3.3
株式会社マキタ（機械）,37.3,42.0,3.1,2.6,2.5,2.9,2.8,2.2,4.0,2.8
カシオ計算機株式会社,23.2,45.6,3.3,2.5,3.0,2.9,2.8,2.3,4.4,2.6
ファナック株式会社,49.2,74.5,4.5,2.1,2.1,2.2,2.2,1.9,4.0,2.3
株式会社アドバンテスト,10.5,70.3,3.7,2.7,3.7,3.5,3.1,3.0,4.6,3.1
ローム株式会社,28.8,55.3,3.4,2.7,2.7,2.7,3.6,2.4,4.0,2.8
浜松ホトニクス株式会社,18.3,71.1,3.4,3.2,3.5,3.3,2.8,3.1,4.4,2.3
株式会社キーエンス,59.6,29.2,4.8,4.4,4.1,3.5,4.6,2.6,3.9,4.3
日本電産株式会社,27.9,41.1,2.3,2.8,3.0,2.7,3.9,2.1,3.3,3.0
レーザーテック株式会社,24.9,48.6,3.4,3.4,3.2,2.7,3.5,3.4,3.2,3.8
シスメックス株式会社,25.5,58.9,3.7,2.6,2.9,2.9,2.7,2.4,4.5,2.8
ルネサスエレクトロニクス株式会社,34.3,44.0,3.1,2.5,3.0,3.0,2.9,2.4,4.4,2.9
三菱重工業株式会社,30.9,51.1,3.8,2.9,2.8,3.0,3.0,2.9,4.7,2.5
日産自動車株式会社,28.2,81.1,3.8,2.8,3.2,2.9,3.2,2.8,3.9,3.6
いすゞ自動車株式会社,25.8,60.7,2.7,2.6,3.0,2.7,2.9,2.5,4.3,2.5
トヨタ自動車株式会社,27.0,87.8,4.2,3.7,3.5,4.2,3.4,4.0,4.9,3.2
株式会社SUBARU,28.8,76.0,2.7,2.6,2.9,2.8,2.9,2.5,3.6,2.7
マツダ株式会社（自動車）,20.2,77.9,2.7,2.9,3.3,3.3,2.9,2.8,4.7,3.2
本田技研工業株式会社,21.7,94.4,3.7,2.6,3.2,3.0,2.5,2.4,4.7,2.6
スズキ株式会社（自動車）,31.7,54.0,2.1,2.3,2.8,2.9,3.8,2.4,3.0,2.6
ヤマハ発動機株式会社,20.7,67.5,3.4,3.0,4.0,3.4,3.1,2.8,4.5,2.8
株式会社シマノ,29.3,60.2,3.9,3.4,3.7,2.7,3.0,2.3,3.8,2.9
株式会社ニコン,17.6,57.3,3.4,2.5,2.8,2.9,2.5,2.5,4.7,2.7
オリンパス株式会社,19.6,53.5,3.7,2.7,2.8,3.0,2.6,2.6,4.6,2.7
キヤノン株式会社,18.4,69.2,2.6,2.4,3.0,3.4,2.5,2.6,4.9,2.7
朝日インテック株式会社,23.7,54.1,2.9,2.7,3.2,3.0,2.4,2.1,4.5,2.5
ヤマハ株式会社,21.1,55.6,4.0,3.0,3.6,3.2,2.8,2.8,4.8,2.8
任天堂株式会社,25.6,78.8,4.3,3.5,3.7,3.7,2.7,2.7,4.8,2.8
ピジョン株式会社（インテリア）,10.6,55.0,3.1,2.9,3.6,3.0,3.1,2.7,4.6,2.4
株式会社カプコン,27.9,64.6,2.5,3.2,2.8,3.3,3.2,2.5,4.1,2.6
株式会社マルゼン,51.9,20.5,2.0,2.5,2.3,2.7,2.7,2.3,2.3,2.8
株式会社バンダイナムコホールディングス,9.2,69.1,2.8,3.0,3.1,3.4,3.0,2.8,3.1,3.4
伊藤忠商事株式会社,40.8,56.8,4.8,4.2,4.0,3.8,4.0,3.7,4.7,3.7
丸紅株式会社（総合商社）,35.6,55.1,4.6,3.3,3.6,3.6,3.8,3.1,4.4,3.1
豊田通商株式会社,33.3,48.4,4.2,3.0,3.6,4.0,3.4,2.8,4.8,2.9
三井物産株式会社,30.0,59.4,4.7,3.9,4.0,4.0,4.0,3.8,4.8,3.3
住友商事株式会社,36.8,67.8,4.8,3.2,3.5,4.2,3.5,3.5,4.9,2.7
東京エレクトロン株式会社,31.5,57.5,4.0,3.3,4.1,3.6,3.5,2.7,4.5,3.5
株式会社神戸物産,22.3,83.2,2.7,3.1,2.8,2.5,2.6,2.6,3.0,2.9
イオン株式会社,25.2,56.2,3.2,2.9,3.4,3.0,2.9,3.1,4.3,3.1
株式会社ニトリホールディングス,15.1,63.4,3.1,3.2,3.3,3.3,2.5,3.1,4.7,3.1
株式会社ファーストリテイリング,26.7,55.2,3.3,3.7,3.3,3.3,4.0,2.5,3.9,3.5
株式会社パン・パシフィック・インターナショナルホールディングス,37.6,47.2,2.4,3.2,3.1,2.9,3.4,2.3,3.1,3.4
株式会社ワークマン,29.0,34.5,3.1,2.7,3.2,2.7,3.2,2.7,2.9,2.9
株式会社ローソン,28.9,44.0,3.0,2.8,3.1,3.0,2.9,2.6,3.8,3.1
日本マクドナルドホールディングス株式会社,39.8,41.6,3.0,3.1,2.5,4.0,4.2,2.7,3.4,2.9
株式会社コスモス薬品,13.5,48.2,2.4,3.3,3.3,3.9,3.0,2.5,4.7,3.0
株式会社セブン&アイ・ホールディングス,22.0,61.7,2.6,3.0,2.7,2.9,2.6,2.4,3.7,2.3
株式会社ツルハホールディングス,31.1,15.5,2.5,2.7,3.1,3.0,3.1,2.2,3.5,3.0
株式会社MonotaRO,14.3,79.6,2.9,3.9,3.9,3.7,3.3,3.2,3.4,3.3
株式会社千葉銀行,23.1,84.6,3.1,2.9,2.7,2.9,2.8,2.7,4.6,2.9
株式会社三菱UFJフィナンシャル・グループ,18.3,67.3,3.1,3.0,2.9,3.2,2.9,3.1,4.7,3.0
株式会社りそなホールディングス,25.3,72.6,2.5,2.6,3.8,3.0,2.6,2.5,4.8,2.5
三井住友トラスト・ホールディングス株式会社,65.5,11.0,3.2,2.8,2.9,2.9,3.1,2.9,3.2,2.9
株式会社三井住友フィナンシャルグループ,32.8,66.1,3.4,3.4,3.1,3.1,2.9,2.9,3.8,3.1
株式会社みずほフィナンシャルグループ,35.3,63.0,3.3,2.8,2.9,3.0,2.9,2.8,4.8,2.9
アコム株式会社,19.5,81.5,3.8,2.8,3.7,3.4,2.7,3.2,4.9,3.0
信金中央金庫,22.3,39.9,3.6,2.5,2.9,3.0,2.5,2.5,4.7,2.4
野村ホールディングス株式会社,31.8,44.5,4.1,3.2,2.9,3.2,3.9,3.3,4.5,3.4
株式会社大和証券グループ本社,22.2,71.9,4.2,2.9,3.3,3.0,3.7,3.8,4.6,4.5
株式会社日本取引所グループ,31.6,60.5,3.8,2.9,3.5,3.4,2.8,2.8,4.8,2.8
東京海上ホールディングス株式会社,None,None,3.0,3.2,3.0,3.0,3.2,3.2,3.2,3.0
株式会社T&Dホールディングス,None,None,None,None,None,None,None,None,None,None
MS&ADインシュアランスグループホールディングス株式会社,4.0,95.0,3.0,2.9,3.1,3.1,2.9,2.9,3.2,2.9
日本空港ビルデング株式会社,13.4,65.9,2.9,2.5,2.7,2.8,2.1,2.4,4.3,2.4
小田急電鉄株式会社,22.3,80.6,3.3,2.6,2.8,3.9,2.1,2.7,4.7,2.6
東急株式会社,26.7,65.4,2.3,2.9,3.5,4.1,2.4,2.9,5.0,2.1
東武鉄道株式会社,30.5,71.4,2.9,2.4,2.6,2.9,2.4,2.8,4.5,2.6
名古屋鉄道株式会社,27.1,77.5,1.8,2.2,2.6,3.7,1.7,2.2,4.3,1.9
近鉄グループホールディングス株式会社,17.2,53.3,3.5,2.4,2.4,3.3,2.6,2.6,4.8,2.2
阪急阪神ホールディングス株式会社,22.3,52.6,3.7,3.0,3.2,3.4,2.8,2.9,4.3,2.6
東日本旅客鉄道株式会社（JR東日本）,17.9,84.4,3.4,2.5,2.7,3.6,2.2,2.8,4.7,2.4
西日本旅客鉄道株式会社（JR西日本）,16.5,74.6,2.8,2.6,2.7,3.2,2.3,2.7,4.7,2.5
東海旅客鉄道株式会社（JR東海）,24.7,58.1,3.8,2.7,2.4,3.7,2.1,2.8,5.0,2.4
日本郵船株式会社,32.0,58.8,4.3,3.9,4.4,4.6,3.5,4.2,4.6,3.0
株式会社商船三井,40.2,53.3,4.6,3.5,4.0,4.0,3.2,3.1,4.3,2.8
川崎汽船株式会社,47.0,61.7,4.0,2.8,3.9,3.7,3.4,2.7,3.9,2.4
日本航空株式会社（JAL）,12.8,79.4,2.9,3.7,3.0,4.4,2.9,3.3,4.8,2.6
ANAホールディングス株式会社,2.0,96.5,3.0,3.3,3.1,3.4,3.4,3.4,3.4,3.4
日本通運株式会社,29.3,38.3,2.4,2.5,2.8,3.0,2.5,2.7,4.6,2.3
KDDI株式会社,26.5,65.7,3.8,2.8,2.9,3.2,2.7,2.9,4.8,2.8
ソフトバンク株式会社,28.5,64.9,3.2,3.4,3.7,3.2,3.7,2.7,4.1,3.4
日本電信電話株式会社（NTT）,20.8,92.3,3.3,3.0,3.7,3.5,3.6,3.2,4.9,3.0
関西電力株式会社,27.7,80.7,3.6,2.8,3.0,3.7,2.6,3.0,4.7,2.7
東北電力株式会社,23.3,61.0,3.7,2.6,2.8,3.3,2.2,2.7,4.8,2.7
中部電力株式会社,28.5,62.7,3.9,2.7,3.1,3.6,2.4,3.0,4.8,2.7
東京ガス株式会社,19.4,67.5,4.3,3.0,3.8,4.0,2.9,3.3,4.9,2.9
東邦ガス株式会社,17.4,41.7,4.2,2.6,2.9,3.1,2.6,2.8,4.8,2.5
大阪ガス株式会社,26.3,58.7,4.0,3.0,3.9,3.9,2.8,3.2,4.8,2.9
株式会社オリエンタルランド,17.7,83.8,2.8,3.5,3.1,4.2,2.7,2.7,4.8,2.7
株式会社電通グループ,None,None,None,None,None,None,None,None,None,None
オリックス株式会社,34.2,62.7,4.1,3.6,3.8,3.3,4.1,2.9,4.0,3.6
セコム株式会社,32.1,52.7,2.6,2.5,2.5,2.9,2.4,2.2,4.7,2.9
SCSK株式会社,23.4,88.9,2.8,2.9,3.6,3.3,2.9,3.1,4.7,2.7
株式会社スクウェア・エニックス・ホールディングス,None,None,3.0,3.0,3.2,3.0,3.2,3.0,3.2,3.0
株式会社エヌ・ティ・ティ・データ,30.7,85.6,4.0,3.2,3.7,4.0,3.2,3.8,4.8,3.1
株式会社光通信,36.3,44.8,2.7,3.4,3.1,2.9,4.3,1.9,3.1,4.3
トレンドマイクロ株式会社,25.0,69.3,3.2,3.1,4.0,3.8,3.2,2.7,4.4,2.9
Zホールディングス株式会社,None,None,2.9,2.9,3.0,3.0,3.0,3.2,3.2,2.9
株式会社オービック（SIer）,42.0,33.7,2.7,3.2,3.9,4.1,4.4,2.6,3.1,3.0
日本オラクル株式会社,28.0,62.4,2.8,3.0,3.7,2.9,3.3,2.3,4.6,2.8
伊藤忠テクノソリューションズ株式会社,32.8,61.2,3.7,3.1,3.9,3.1,3.5,2.8,4.4,3.0
株式会社野村総合研究所,45.8,51.8,4.6,3.7,4.0,3.8,4.4,3.7,4.6,3.4
株式会社サイバーエージェント,46.1,50.7,3.1,4.6,4.5,4.5,4.8,2.8,2.8,3.7
楽天グループ株式会社（旧：楽天株式会社）,32.5,60.1,3.2,3.8,3.9,3.9,4.2,2.6,3.9,3.4
株式会社大塚商会,35.8,37.1,3.5,2.9,2.6,2.8,3.9,2.5,2.9,4.3
綜合警備保障株式会社,35.2,46.2,2.4,2.4,2.4,2.9,2.3,2.2,4.2,2.6
東京センチュリー株式会社,22.3,66.2,3.6,2.8,2.7,2.8,2.7,2.7,4.6,2.6
GMOペイメントゲートウェイ株式会社,35.1,64.8,2.9,3.9,3.3,2.9,4.0,2.4,4.0,3.7
株式会社SRAホールディングス,None,None,None,None,None,None,None,None,None,None
株式会社ZOZO,16.9,80.5,2.8,3.0,4.1,3.9,2.8,2.3,3.8,2.7
TIS株式会社,27.3,63.7,2.9,2.9,3.9,3.3,3.2,2.9,4.6,3.1
第一生命ホールディングス株式会社,28.8,44.8,2.8,2.9,2.8,3.3,2.8,2.7,4.2,3.4
株式会社リクルートホールディングス,36.8,57.3,4.1,4.4,4.4,4.1,4.7,3.1,4.0,4.1
ウエルシアホールディングス株式会社,22.2,48.3,3.0,2.8,3.0,3.1,3.3,2.7,3.4,2.9
大塚ホールディングス株式会社,21.1,54.2,2.9,2.9,3.0,3.2,3.2,2.9,3.0,2.9
明治ホールディングス株式会社,None,None,3.2,3.0,3.2,3.0,2.9,2.9,3.2,3.0
SOMPOホールディングス株式会社,20.4,44.2,3.1,3.0,3.0,3.1,3.1,2.9,3.1,2.9
ENEOSホールディングス株式会社,23.2,71.2,3.6,2.9,3.3,3.0,2.7,2.8,4.1,2.9
大正製薬ホールディングス株式会社,28.7,42.1,3.0,2.5,2.4,3.0,2.3,2.3,3.9,2.3
株式会社ネクソン,19.9,82.1,2.7,2.3,3.4,2.9,2.5,1.9,4.2,2.2
ペプチドリーム株式会社,None,None,None,None,None,None,None,None,None,None
サントリー食品インターナショナル株式会社,24.3,82.5,4.2,4.6,4.5,4.6,3.9,4.1,4.5,3.6
飯田グループホールディングス株式会社,22.0,69.4,2.8,2.8,2.7,2.8,2.7,2.6,3.5,3.0
株式会社オプティム（インターネット）,32.6,67.2,2.5,3.7,3.7,3.3,3.6,2.2,3.4,2.9
日本郵政株式会社,18.9,73.9,2.7,2.2,2.7,2.9,2.2,2.5,4.6,2.3
株式会社かんぽ生命保険,11.6,86.4,2.8,2.4,2.6,2.7,2.3,2.5,4.4,2.5
株式会社ゆうちょ銀行,15.6,86.8,2.8,2.3,2.7,2.8,2.3,2.5,4.6,2.5
SGホールディングス株式会社,26.2,65.0,2.1,2.4,2.8,2.9,2.4,2.3,3.6,2.2
株式会社メルカリ,22.3,80.8,4.1,3.5,3.8,3.9,3.7,2.5,3.6,3.4
日本ビルファンドマネジメント株式会社,None,None,3.0,2.9,2.9,2.8,2.9,2.9,2.9,3.0
日本プロロジスリート投資法人,None,None,None,None,None,None,None,None,None,None
ジャパンリアルエステート投資法人,None,None,None,None,None,None,None,None,None,None
日本GLP株式会社,18.0,74.8,4.2,4.2,3.8,3.8,3.8,2.9,3.7,3.0
野村不動産マスターファンド投資法人,None,None,None,None,None,None,None,None,None,None
イオンリート投資法人,None,None,None,None,None,None,None,None,None,None
