timeline,Nissan Chemical
30 Sep 2016,$4.1B
31 Oct 2016,$4.79B
30 Nov 2016,$5.11B
30 Dec 2016,$5.25B
31 Jan 2017,$5.42B
28 Feb 2017,$4.86B
31 Mar 2017,$4.33B
28 Apr 2017,$4.62B
31 May 2017,$5.2B
30 Jun 2017,$4.92B
31 Jul 2017,$4.87B
31 Aug 2017,$4.89B
29 Sep 2017,$5.25B
31 Oct 2017,$5.55B
30 Nov 2017,$5.93B
29 Dec 2017,$5.92B
31 Jan 2018,$5.9B
28 Feb 2018,$5.62B
30 Mar 2018,$5.84B
30 Apr 2018,$6.42B
31 May 2018,$6.72B
29 Jun 2018,$6.79B
31 Jul 2018,$6.54B
31 Aug 2018,$6.94B
28 Sep 2018,$7.85B
31 Oct 2018,$6.94B
30 Nov 2018,$8.01B
31 Dec 2018,$7.49B
31 Jan 2019,$7.52B
28 Feb 2019,$7.33B
29 Mar 2019,$6.61B
30 Apr 2019,$6.42B
31 May 2019,$6B
28 Jun 2019,$6.31B
31 Jul 2019,$6.18B
30 Aug 2019,$5.82B
30 Sep 2019,$5.81B
31 Oct 2019,$5.79B
29 Nov 2019,$5.6B
31 Dec 2019,$5.91B
31 Jan 2020,$5.88B
27 Feb 2020,$6.08B
28 Feb 2020,$5.87B
31 Mar 2020,$5.05B
30 Apr 2020,$5.31B
29 May 2020,$6.1B
30 Jun 2020,$7.04B
14 Jul 2020,$7.18B
31 Jul 2020,$7.03B
21 Aug 2020,$6.9B
31 Aug 2020,$7.2B
11 Sep 2020,$7.04B
18 Sep 2020,$7.02B
30 Sep 2020,$7.12B
8 Oct 2020,$7.11B
15 Oct 2020,$7.06B
23 Oct 2020,$7.07B
30 Oct 2020,$7.02B
12 Nov 2020,$7.91B
20 Nov 2020,$8.02B
26 Nov 2020,$8.21B
4 Dec 2020,$8.16B
11 Dec 2020,$7.95B
18 Dec 2020,$7.8B
31 Dec 2020,$8.21B
8 Jan 2021,$8.02B
5 Feb 2021,$7.8B
15 Feb 2021,$7.72B
26 Feb 2021,$7.36B
11 Mar 2021,$7.45B
19 Mar 2021,$7.98B
25 Mar 2021,$7.54B
7 Apr 2021,$7.75B
13 Apr 2021,$7.52B
22 Apr 2021,$7.51B
30 Apr 2021,$7.12B
7 May 2021,$7.5B
19 May 2021,$7.19B
26 May 2021,$7.32B
4 Jun 2021,$7.19B
11 Jun 2021,$7.02B
30 Jun 2021,$6.88B
20 Jul 2021,$6.57B
21 Jul 2021,$6.61B
6 Aug 2021,$6.87B
13 Aug 2021,$7.22B
20 Aug 2021,$7.71B
27 Aug 2021,$7.72B
10 Sep 2021,$8.97B
17 Sep 2021,$9.14B
24 Sep 2021,$8.96B
2 Oct 2021,$8.12B
9 Oct 2021,$7.95B
23 Oct 2021,$7.91B
30 Oct 2021,$7.93B
6 Nov 2021,$8.14B
13 Nov 2021,$8.44B
20 Nov 2021,$8.83B
4 Dec 2021,$8.26B
9 Dec 2021,$8.43B
