timeline,Asahi Kasei
15 Feb 2021,$14.48B
22 Feb 2021,$14.04B
1 Mar 2021,$14.21B
11 Mar 2021,$15.25B
18 Mar 2021,$16.28B
25 Mar 2021,$15.96B
7 Apr 2021,$15.27B
13 Apr 2021,$15.11B
22 Apr 2021,$14.91B
30 Apr 2021,$14.09B
7 May 2021,$14.65B
19 May 2021,$14.86B
26 May 2021,$15.24B
4 Jun 2021,$15.57B
11 Jun 2021,$15.33B
30 Jun 2021,$14.93B
20 Jul 2021,$14.23B
21 Jul 2021,$14.43B
6 Aug 2021,$15.1B
13 Aug 2021,$15.08B
20 Aug 2021,$14.18B
27 Aug 2021,$14.04B
3 Sep 2021,$14.51B
17 Sep 2021,$15.97B
24 Sep 2021,$15.55B
2 Oct 2021,$14.48B
9 Oct 2021,$14.28B
16 Oct 2021,$14.8B
30 Oct 2021,$14.61B
6 Nov 2021,$14B
13 Nov 2021,$13.94B
20 Nov 2021,$13.89B
4 Dec 2021,$13.68B
9 Dec 2021,$13.41B
