timeline,K_Line
31 May 2011,$1.53B
30 Jun 2011,$1.57B
29 Jul 2011,$1.42B
31 Aug 2011,$1.1B
30 Sep 2011,$0.92B
30 Nov 2011,$0.88B
30 Dec 2011,$0.94B
31 Jan 2012,$0.97B
29 Feb 2012,$1.15B
30 Mar 2012,$1.23B
30 Apr 2012,$1.15B
31 May 2012,$0.98B
29 Jun 2012,$1.05B
31 Jul 2012,$0.81B
31 Aug 2012,$0.87B
28 Sep 2012,$0.81B
31 Oct 2012,$0.84B
30 Nov 2012,$0.9B
31 Dec 2012,$1.08B
31 Jan 2013,$1.43B
28 Feb 2013,$1.72B
29 Mar 2013,$1.65B
30 Apr 2013,$1.77B
31 May 2013,$1.7B
28 Jun 2013,$1.67B
31 Jul 2013,$1.66B
30 Aug 2013,$1.84B
30 Sep 2013,$1.9B
31 Oct 2013,$1.85B
29 Nov 2013,$2.01B
31 Dec 2013,$2.2B
31 Jan 2014,$2.01B
28 Feb 2014,$1.9B
31 Mar 2014,$1.84B
30 Apr 2014,$1.7B
30 May 2014,$1.76B
30 Jun 2014,$1.75B
31 Jul 2014,$1.84B
29 Aug 2014,$2.07B
30 Sep 2014,$1.93B
31 Oct 2014,$2.07B
28 Nov 2014,$2.57B
31 Dec 2014,$2.69B
30 Jan 2015,$2.81B
27 Feb 2015,$3.01B
31 Mar 2015,$2.67B
30 Apr 2015,$2.56B
29 May 2015,$2.6B
30 Jun 2015,$2.39B
31 Jul 2015,$2.29B
31 Aug 2015,$2.23B
30 Sep 2015,$2.17B
30 Oct 2015,$2.26B
30 Nov 2015,$2.09B
31 Dec 2015,$2.15B
29 Jan 2016,$1.77B
29 Feb 2016,$1.56B
31 Mar 2016,$1.8B
29 Apr 2016,$1.95B
31 May 2016,$1.99B
30 Jun 2016,$1.98B
29 Jul 2016,$2.1B
31 Aug 2016,$2.16B
30 Sep 2016,$2.14B
31 Oct 2016,$2.15B
30 Nov 2016,$2.07B
30 Dec 2016,$2.19B
31 Jan 2017,$2.27B
28 Feb 2017,$2.5B
31 Mar 2017,$2.45B
28 Apr 2017,$2.42B
31 May 2017,$2.37B
30 Jun 2017,$2.23B
31 Jul 2017,$2.27B
31 Aug 2017,$2.46B
29 Sep 2017,$2.45B
31 Oct 2017,$2.44B
30 Nov 2017,$2.39B
29 Dec 2017,$2.37B
31 Jan 2018,$2.39B
28 Feb 2018,$2.14B
30 Mar 2018,$2.06B
30 Apr 2018,$2.08B
31 May 2018,$1.84B
29 Jun 2018,$1.68B
31 Jul 2018,$1.67B
31 Aug 2018,$1.69B
28 Sep 2018,$1.89B
31 Oct 2018,$1.24B
30 Nov 2018,$1.34B
31 Dec 2018,$1.11B
31 Jan 2019,$1.17B
28 Feb 2019,$1.29B
29 Mar 2019,$0.98B
30 Apr 2019,$1.32B
31 May 2019,$1.01B
28 Jun 2019,$1.08B
31 Jul 2019,$1.15B
30 Aug 2019,$0.88B
30 Sep 2019,$1.03B
31 Oct 2019,$1.34B
29 Nov 2019,$1.49B
31 Dec 2019,$1.54B
31 Jan 2020,$1.23B
28 Feb 2020,$1.01B
6 Mar 2020,$0.96B
31 Mar 2020,$0.67B
30 Apr 2020,$0.89B
29 May 2020,$0.91B
30 Jun 2020,$0.83B
17 Jul 2020,$0.86B
31 Jul 2020,$0.79B
31 Aug 2020,$0.97B
30 Sep 2020,$0.96B
30 Oct 2020,$1.04B
27 Nov 2020,$1.4B
30 Nov 2020,$1.39B
11 Dec 2020,$1.58B
18 Dec 2020,$1.67B
31 Dec 2020,$1.75B
8 Jan 2021,$1.87B
29 Jan 2021,$1.51B
5 Feb 2021,$1.55B
9 Feb 2021,$1.6B
26 Feb 2021,$1.66B
11 Mar 2021,$1.79B
19 Mar 2021,$2.17B
26 Mar 2021,$2.12B
7 Apr 2021,$2.22B
16 Apr 2021,$2.18B
22 Apr 2021,$2.38B
30 Apr 2021,$2.52B
7 May 2021,$2.79B
20 May 2021,$2.3B
26 May 2021,$2.4B
4 Jun 2021,$2.55B
11 Jun 2021,$2.83B
30 Jun 2021,$3.29B
20 Jul 2021,$2.89B
6 Aug 2021,$3.49B
13 Aug 2021,$4.21B
20 Aug 2021,$3.84B
27 Aug 2021,$4.46B
10 Sep 2021,$5.26B
17 Sep 2021,$6.47B
24 Sep 2021,$7.08B
2 Oct 2021,$4.88B
9 Oct 2021,$4.31B
23 Oct 2021,$4.14B
30 Oct 2021,$4.5B
6 Nov 2021,$3.98B
13 Nov 2021,$4.36B
20 Nov 2021,$3.81B
4 Dec 2021,$5.05B
10 Dec 2021,$5.6B
