timeline,Toppan
4 Aug 2020,$5.08B
7 Aug 2020,$4.94B
21 Aug 2020,$5.19B
31 Aug 2020,$5.03B
18 Sep 2020,$4.9B
30 Sep 2020,$4.51B
14 Oct 2020,$4.38B
28 Oct 2020,$4.14B
4 Nov 2020,$4.23B
13 Nov 2020,$4.41B
20 Nov 2020,$4.58B
1 Dec 2020,$4.64B
8 Dec 2020,$4.8B
18 Dec 2020,$4.47B
22 Dec 2020,$4.36B
31 Dec 2020,$4.47B
12 Jan 2021,$4.6B
18 Jan 2021,$4.56B
29 Jan 2021,$4.57B
5 Feb 2021,$4.93B
12 Feb 2021,$4.82B
26 Feb 2021,$5.11B
1 Mar 2021,$5.31B
19 Mar 2021,$5.96B
31 Mar 2021,$5.69B
7 Apr 2021,$5.93B
16 Apr 2021,$5.83B
30 Apr 2021,$5.65B
13 May 2021,$5.28B
19 May 2021,$5.61B
31 May 2021,$5.8B
4 Jun 2021,$5.84B
11 Jun 2021,$5.67B
30 Jun 2021,$5.39B
12 Jul 2021,$5.46B
20 Jul 2021,$5.49B
30 Jul 2021,$5.74B
6 Aug 2021,$5.76B
13 Aug 2021,$5.85B
20 Aug 2021,$5.66B
27 Aug 2021,$5.78B
10 Sep 2021,$6.28B
17 Sep 2021,$6.26B
24 Sep 2021,$6.15B
2 Oct 2021,$5.67B
9 Oct 2021,$5.61B
23 Oct 2021,$5.48B
30 Oct 2021,$5.44B
13 Nov 2021,$5.85B
27 Nov 2021,$5.35B
4 Dec 2021,$5.39B
10 Dec 2021,$5.42B
