timeline,KOBAYASHI Pharmaceutical
31 Aug 2015,$3.39B
30 Sep 2015,$3.23B
30 Oct 2015,$3.38B
30 Nov 2015,$3.6B
31 Dec 2015,$3.58B
29 Jan 2016,$3.65B
29 Feb 2016,$3.47B
31 Mar 2016,$3.5B
29 Apr 2016,$3.12B
31 May 2016,$3.21B
29 Jul 2016,$3.46B
31 Aug 2016,$3.4B
30 Sep 2016,$3.84B
31 Oct 2016,$4B
30 Nov 2016,$3.65B
31 Jan 2017,$3.5B
28 Feb 2017,$3.61B
31 Mar 2017,$3.6B
28 Apr 2017,$3.9B
31 May 2017,$4.37B
30 Jun 2017,$4.64B
31 Jul 2017,$4.77B
31 Aug 2017,$4.75B
29 Sep 2017,$4.43B
31 Oct 2017,$4.55B
30 Nov 2017,$4.93B
29 Dec 2017,$5.09B
31 Jan 2018,$5.03B
28 Feb 2018,$4.87B
30 Mar 2018,$5.35B
30 Apr 2018,$6.43B
31 May 2018,$6.69B
29 Jun 2018,$6.66B
31 Jul 2018,$6.48B
31 Aug 2018,$5.56B
28 Sep 2018,$5.82B
31 Oct 2018,$5.15B
30 Nov 2018,$5.5B
31 Dec 2018,$5.21B
31 Jan 2019,$4.81B
28 Feb 2019,$6.25B
29 Mar 2019,$6.51B
30 Apr 2019,$6.15B
31 May 2019,$5.57B
28 Jun 2019,$5.32B
31 Jul 2019,$5.38B
30 Aug 2019,$5.49B
30 Sep 2019,$5.67B
31 Oct 2019,$5.99B
29 Nov 2019,$6.19B
31 Dec 2019,$6.39B
31 Jan 2020,$6.13B
12 Feb 2020,$6.11B
21 Feb 2020,$5.86B
28 Feb 2020,$5.41B
31 Mar 2020,$6.89B
30 Apr 2020,$6.85B
2 Jun 2020,$6.69B
30 Jun 2020,$6.54B
31 Jul 2020,$6.45B
7 Aug 2020,$6.34B
21 Aug 2020,$6.43B
31 Aug 2020,$6.51B
24 Sep 2020,$6.94B
30 Sep 2020,$7.01B
22 Oct 2020,$7.03B
30 Oct 2020,$7.01B
12 Nov 2020,$7.82B
19 Nov 2020,$8B
30 Nov 2020,$8.65B
10 Dec 2020,$8.62B
17 Dec 2020,$8.6B
24 Dec 2020,$8.73B
31 Dec 2020,$8.69B
8 Jan 2021,$8.52B
22 Jan 2021,$8.22B
29 Jan 2021,$8.12B
5 Feb 2021,$7.53B
26 Feb 2021,$6.94B
12 Mar 2021,$7.03B
18 Mar 2021,$7.2B
24 Mar 2021,$7.13B
31 Mar 2021,$7.12B
9 Apr 2021,$7.03B
16 Apr 2021,$6.94B
6 May 2021,$6.6B
12 May 2021,$6.72B
18 May 2021,$6.71B
31 May 2021,$6.7B
4 Jun 2021,$6.45B
11 Jun 2021,$6.49B
30 Jun 2021,$6.54B
16 Jul 2021,$6.32B
30 Jul 2021,$6.31B
6 Aug 2021,$6.09B
20 Aug 2021,$6.03B
27 Aug 2021,$6.14B
3 Sep 2021,$6.37B
10 Sep 2021,$6.54B
17 Sep 2021,$6.57B
24 Sep 2021,$6.45B
2 Oct 2021,$6.1B
16 Oct 2021,$6B
23 Oct 2021,$5.91B
30 Oct 2021,$6.27B
6 Nov 2021,$6.58B
13 Nov 2021,$6.39B
20 Nov 2021,$6.43B
27 Nov 2021,$6.27B
4 Dec 2021,$6.16B
10 Dec 2021,$6.29B
