timeline,Toshiba
29 Jun 2018,$19.13B
31 Jul 2018,$19.71B
31 Aug 2018,$19.07B
28 Sep 2018,$18.87B
31 Oct 2018,$19.42B
30 Nov 2018,$18.16B
31 Dec 2018,$15.64B
31 Jan 2019,$16.99B
28 Feb 2019,$16.92B
29 Mar 2019,$17.09B
30 Apr 2019,$17.51B
31 May 2019,$16.05B
28 Jun 2019,$14.93B
31 Jul 2019,$15.57B
30 Aug 2019,$14.74B
30 Sep 2019,$13.67B
31 Oct 2019,$14.96B
29 Nov 2019,$15.87B
31 Dec 2019,$14.82B
31 Jan 2020,$14B
28 Feb 2020,$11.7B
31 Mar 2020,$9.52B
24 Apr 2020,$10.3B
30 Apr 2020,$10.75B
29 May 2020,$11.77B
30 Jun 2020,$13.74B
9 Jul 2020,$14.22B
22 Jul 2020,$13.9B
31 Jul 2020,$12.8B
12 Aug 2020,$13.88B
19 Aug 2020,$13.8B
31 Aug 2020,$12.22B
11 Sep 2020,$12.08B
25 Sep 2020,$11.16B
30 Sep 2020,$10.68B
8 Oct 2020,$11.18B
15 Oct 2020,$11.02B
23 Oct 2020,$11.45B
30 Oct 2020,$10.51B
5 Nov 2020,$10.61B
13 Nov 2020,$10.89B
19 Nov 2020,$11.54B
30 Nov 2020,$11.68B
3 Dec 2020,$12.1B
10 Dec 2020,$12.26B
17 Dec 2020,$12.06B
24 Dec 2020,$11.64B
31 Dec 2020,$11.54B
8 Jan 2021,$12.06B
15 Jan 2021,$11.8B
22 Jan 2021,$11.85B
4 Feb 2021,$14.32B
12 Feb 2021,$14.56B
22 Feb 2021,$14B
26 Feb 2021,$13.42B
4 Mar 2021,$14.2B
10 Mar 2021,$14.58B
19 Mar 2021,$15.54B
26 Mar 2021,$15.12B
1 Apr 2021,$15.64B
9 Apr 2021,$17.07B
16 Apr 2021,$18.41B
22 Apr 2021,$17.41B
28 Apr 2021,$18.41B
30 Apr 2021,$18.07B
7 May 2021,$18.19B
13 May 2021,$17.89B
20 May 2021,$18.19B
31 May 2021,$18.39B
4 Jun 2021,$18.59B
30 Jun 2021,$19.23B
9 Jul 2021,$19.33B
16 Jul 2021,$19.61B
21 Jul 2021,$18.83B
30 Jul 2021,$19.36B
6 Aug 2021,$19.92B
13 Aug 2021,$17.24B
20 Aug 2021,$18.08B
27 Aug 2021,$19.28B
3 Sep 2021,$19.06B
10 Sep 2021,$19.41B
17 Sep 2021,$18.7B
24 Sep 2021,$19.37B
2 Oct 2021,$19.04B
9 Oct 2021,$19.06B
16 Oct 2021,$18.57B
23 Oct 2021,$18.32B
30 Oct 2021,$18.69B
6 Nov 2021,$19.46B
13 Nov 2021,$18.47B
20 Nov 2021,$17.72B
27 Nov 2021,$17.49B
4 Dec 2021,$18.09B
9 Dec 2021,$17.78B
