timeline,Daiwa Securities Group
4 Jun 2020,$6.22B
30 Jun 2020,$6.02B
10 Jul 2020,$6.22B
17 Jul 2020,$6.27B
31 Jul 2020,$6.22B
7 Aug 2020,$6.18B
20 Aug 2020,$6.41B
31 Aug 2020,$6.4B
30 Sep 2020,$5.9B
22 Oct 2020,$6.1B
30 Oct 2020,$5.64B
12 Nov 2020,$6.09B
18 Nov 2020,$6.27B
26 Nov 2020,$6.34B
8 Dec 2020,$6.33B
14 Dec 2020,$6.35B
21 Dec 2020,$6.34B
31 Dec 2020,$6.3B
8 Jan 2021,$6.83B
15 Jan 2021,$6.88B
22 Jan 2021,$6.69B
29 Jan 2021,$6.66B
12 Feb 2021,$7.15B
18 Feb 2021,$7.16B
3 Mar 2021,$7.21B
12 Mar 2021,$7.5B
24 Mar 2021,$7.63B
2 Apr 2021,$7.55B
15 Apr 2021,$7.81B
22 Apr 2021,$7.5B
30 Apr 2021,$7.8B
12 May 2021,$8.11B
21 May 2021,$8.49B
28 May 2021,$8.58B
2 Jun 2021,$8.7B
11 Jun 2021,$8.54B
30 Jun 2021,$8.2B
16 Jul 2021,$7.74B
21 Jul 2021,$7.67B
6 Aug 2021,$8.23B
13 Aug 2021,$8.34B
20 Aug 2021,$8.1B
27 Aug 2021,$8.53B
10 Sep 2021,$9.55B
17 Sep 2021,$9.42B
24 Sep 2021,$9.35B
2 Oct 2021,$8.84B
9 Oct 2021,$8.94B
23 Oct 2021,$8.83B
30 Oct 2021,$8.5B
6 Nov 2021,$8.62B
13 Nov 2021,$8.52B
20 Nov 2021,$8.37B
4 Dec 2021,$8.64B
9 Dec 2021,$8.72B
