timeline,Nippon Telegraph & Telephone
8 Feb 2021,$96.41B
19 Feb 2021,$98.5B
26 Feb 2021,$94.54B
1 Mar 2021,$96.19B
11 Mar 2021,$93.95B
19 Mar 2021,$97.61B
25 Mar 2021,$98.92B
31 Mar 2021,$93.31B
7 Apr 2021,$94.05B
16 Apr 2021,$95.5B
21 Apr 2021,$93.03B
30 Apr 2021,$91.62B
7 May 2021,$94.54B
13 May 2021,$94.09B
19 May 2021,$96.32B
28 May 2021,$97.96B
31 May 2021,$96.59B
4 Jun 2021,$95.64B
10 Jun 2021,$94.97B
30 Jun 2021,$94.84B
9 Jul 2021,$93.99B
16 Jul 2021,$94.85B
20 Jul 2021,$94.74B
30 Jul 2021,$94.86B
6 Aug 2021,$94.79B
13 Aug 2021,$94.61B
20 Aug 2021,$94.86B
27 Aug 2021,$97.76B
3 Sep 2021,$103.07B
10 Sep 2021,$107.59B
17 Sep 2021,$109.74B
24 Sep 2021,$105.85B
2 Oct 2021,$102.16B
9 Oct 2021,$100.96B
16 Oct 2021,$99.77B
23 Oct 2021,$99.27B
30 Oct 2021,$98.77B
6 Nov 2021,$103.61B
13 Nov 2021,$105.51B
20 Nov 2021,$102.43B
27 Nov 2021,$100.2B
4 Dec 2021,$95.99B
9 Dec 2021,$98.01B
