timeline,Isuzu
31 May 2019,$7.8B
28 Jun 2019,$7.98B
31 Jul 2019,$7.88B
30 Aug 2019,$7.43B
30 Sep 2019,$7.74B
31 Oct 2019,$8.24B
29 Nov 2019,$8.33B
31 Dec 2019,$8.45B
31 Jan 2020,$7.11B
27 Feb 2020,$6.78B
28 Feb 2020,$6.61B
31 Mar 2020,$4.65B
30 Apr 2020,$5.36B
29 May 2020,$6.56B
6 Jul 2020,$6.43B
31 Jul 2020,$5.59B
6 Aug 2020,$6.46B
12 Aug 2020,$6.8B
19 Aug 2020,$6.51B
31 Aug 2020,$6.82B
9 Sep 2020,$6.61B
16 Sep 2020,$6.4B
30 Sep 2020,$5.97B
8 Oct 2020,$6.48B
15 Oct 2020,$6.07B
23 Oct 2020,$5.97B
30 Oct 2020,$5.48B
12 Nov 2020,$6.33B
20 Nov 2020,$6.52B
27 Nov 2020,$6.88B
4 Dec 2020,$6.72B
25 Dec 2020,$6.3B
31 Dec 2020,$6.37B
8 Jan 2021,$6.59B
22 Jan 2021,$6.29B
5 Feb 2021,$7.24B
19 Feb 2021,$7.17B
1 Mar 2021,$7.3B
17 Mar 2021,$7.39B
25 Mar 2021,$7.56B
7 Apr 2021,$7.8B
16 Apr 2021,$7.5B
30 Apr 2021,$7.19B
7 May 2021,$7.46B
19 May 2021,$8.91B
28 May 2021,$9.7B
4 Jun 2021,$9.86B
11 Jun 2021,$9.97B
30 Jun 2021,$9.54B
9 Jul 2021,$9.47B
20 Jul 2021,$8.92B
6 Aug 2021,$9.53B
13 Aug 2021,$10.06B
20 Aug 2021,$8.9B
27 Aug 2021,$9.09B
10 Sep 2021,$10.06B
17 Sep 2021,$9.94B
24 Sep 2021,$10.05B
2 Oct 2021,$9.52B
9 Oct 2021,$9.78B
23 Oct 2021,$9.69B
30 Oct 2021,$9.92B
6 Nov 2021,$10.24B
13 Nov 2021,$10.72B
4 Dec 2021,$10.1B
9 Dec 2021,$9.81B
