timeline,CyberAgent
30 Sep 2013,$1.49B
31 Oct 2013,$1.47B
29 Nov 2013,$2.1B
31 Dec 2013,$2.35B
31 Jan 2014,$2.75B
28 Feb 2014,$2.46B
31 Mar 2014,$2.17B
30 Apr 2014,$2.31B
30 May 2014,$2.23B
30 Jun 2014,$2.25B
31 Jul 2014,$1.91B
29 Aug 2014,$1.96B
30 Sep 2014,$2.12B
31 Oct 2014,$2.34B
28 Nov 2014,$2.61B
31 Dec 2014,$2.5B
30 Jan 2015,$2.88B
27 Feb 2015,$3.4B
31 Mar 2015,$3.8B
30 Apr 2015,$3.17B
29 May 2015,$3.18B
30 Jun 2015,$3.2B
31 Jul 2015,$2.94B
31 Aug 2015,$2.65B
30 Sep 2015,$2.58B
30 Oct 2015,$2.77B
30 Nov 2015,$2.87B
31 Dec 2015,$2.78B
29 Jan 2016,$3.1B
29 Feb 2016,$2.57B
31 Mar 2016,$2.89B
29 Apr 2016,$2.88B
31 May 2016,$2.93B
30 Jun 2016,$3.41B
29 Jul 2016,$3.22B
31 Aug 2016,$3.1B
30 Sep 2016,$3.32B
31 Oct 2016,$3.39B
30 Nov 2016,$3.08B
30 Dec 2016,$3.2B
31 Jan 2017,$3.1B
28 Feb 2017,$3.46B
31 Mar 2017,$3.65B
28 Apr 2017,$3.83B
31 May 2017,$4.43B
30 Jun 2017,$3.86B
31 Jul 2017,$3.78B
31 Aug 2017,$3.98B
29 Sep 2017,$3.64B
31 Oct 2017,$3.88B
30 Nov 2017,$4.25B
29 Dec 2017,$4.88B
31 Jan 2018,$5.24B
28 Feb 2018,$5.13B
30 Mar 2018,$5.87B
30 Apr 2018,$6.7B
31 May 2018,$6.31B
29 Jun 2018,$7.39B
31 Jul 2018,$6.51B
31 Aug 2018,$7.01B
28 Sep 2018,$6.71B
31 Oct 2018,$5.31B
30 Nov 2018,$5.7B
31 Dec 2018,$4.71B
31 Jan 2019,$3.88B
28 Feb 2019,$3.84B
29 Mar 2019,$5.01B
30 Apr 2019,$4.91B
31 May 2019,$4.64B
28 Jun 2019,$4.33B
31 Jul 2019,$4.9B
30 Aug 2019,$5.31B
30 Sep 2019,$4.61B
31 Oct 2019,$3.92B
29 Nov 2019,$4.2B
31 Dec 2019,$4.24B
31 Jan 2020,$4.9B
28 Feb 2020,$4.55B
6 Mar 2020,$4.54B
31 Mar 2020,$4.65B
23 Apr 2020,$4.88B
30 Apr 2020,$5.04B
29 May 2020,$6.03B
30 Jun 2020,$5.88B
31 Jul 2020,$6.61B
7 Aug 2020,$6.59B
14 Aug 2020,$6.56B
20 Aug 2020,$6.53B
31 Aug 2020,$6.28B
24 Sep 2020,$6.68B
30 Sep 2020,$7.19B
22 Oct 2020,$7.46B
30 Oct 2020,$7.28B
12 Nov 2020,$6.9B
30 Nov 2020,$7.94B
3 Dec 2020,$7.84B
16 Dec 2020,$7.59B
22 Dec 2020,$7.53B
31 Dec 2020,$7.91B
12 Jan 2021,$8B
18 Jan 2021,$8.23B
25 Jan 2021,$8.44B
1 Feb 2021,$7.46B
5 Feb 2021,$7.47B
12 Feb 2021,$7.59B
26 Feb 2021,$7.14B
11 Mar 2021,$6.93B
18 Mar 2021,$8.44B
30 Mar 2021,$8.6B
5 Apr 2021,$8.69B
22 Apr 2021,$8.78B
30 Apr 2021,$10B
6 May 2021,$9.71B
14 May 2021,$9.34B
21 May 2021,$9.61B
31 May 2021,$9.78B
4 Jun 2021,$9.42B
11 Jun 2021,$9.63B
30 Jun 2021,$10.61B
12 Jul 2021,$10.36B
21 Jul 2021,$9.61B
30 Jul 2021,$9.18B
6 Aug 2021,$9.46B
13 Aug 2021,$9.01B
20 Aug 2021,$8.86B
27 Aug 2021,$9.2B
3 Sep 2021,$9.6B
10 Sep 2021,$10.1B
17 Sep 2021,$10.28B
24 Sep 2021,$10.29B
2 Oct 2021,$9.83B
9 Oct 2021,$9.5B
16 Oct 2021,$9.49B
23 Oct 2021,$8.79B
30 Oct 2021,$8.44B
6 Nov 2021,$8.94B
13 Nov 2021,$8.8B
20 Nov 2021,$9.53B
27 Nov 2021,$9.24B
4 Dec 2021,$8.8B
9 Dec 2021,$8.91B
