timeline,Toho Gas
9 Oct 2021,$4.13B
16 Oct 2021,$3.4B
23 Oct 2021,$3.31B
30 Oct 2021,$3.13B
6 Nov 2021,$3.03B
13 Nov 2021,$3.04B
20 Nov 2021,$2.95B
27 Nov 2021,$3B
4 Dec 2021,$2.93B
10 Dec 2021,$2.83B
